DATASET_EXTERNALSHAPE
#Nodes have multiple values associated with them. Values will be displayed as geometric shapes of different sizes in columns outside the tree.
#Highest value in the dataset will have the largest size, and all others will be scaled down proportionally.
#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	numerical text
GCA_002337565.1	94.92
GCA_002338715.1	90.46
GCA_002339595.1	87.8
GCA_002341405.1	70.12
GCA_002341435.1	99.02
GCA_002343075.1	88.83
GCA_002343325.1	76.31
GCA_002343715.1	79.46
GCA_002343805.1	72.07
GCA_002343845.1	61.41
GCA_002347125.1	86.46
GCA_002348315.1	93.74
GCA_002359185.1	98.63
GCA_002364005.1	80.53
GCA_002364485.1	80.34
GCA_002364555.1	76.53
GCA_002378075.1	78.25
GCA_002400895.1	46.51
GCA_002402035.1	72.56
GCA_002402755.1	74.8
GCA_002404095.1	92.93
GCA_002405485.1	79.35
GCA_002405515.1	90.14
GCA_002415975.1	95.31
GCA_002416105.1	76.89
GCA_002418245.1	97.46
GCA_002418285.1	88.54
GCA_002422955.1	89.36
GCA_002428205.1	80.27
GCA_002429045.1	79.52
GCA_002433545.1	86.47
GCA_002443295.1	98.18
GCA_002451275.1	55.24
GCA_002456095.1	90.43
GCA_002471675.1	95.67
GCA_002477435.1	87.58
GCA_002480205.1	68.6
GCA_002480325.1	92.01
GCA_002480345.1	80.7
GCA_002480485.1	95.12
GCA_002480565.1	92.51
GCA_002482415.1	82.94
GCA_002483025.1	99.41
GCA_002500505.1	79.71
GCA_002591705.1	74.14
GCA_002632345.1	96.91
GCA_002632395.1	97.07
GCA_002683135.1	81.51
GCA_002683195.1	78.76
GCA_002683215.1	64.97
GCA_002683275.1	81.71
GCA_002683825.1	91.21
GCA_002684315.1	65.92
GCA_002684555.1	89.45
GCA_002684655.1	75.55
GCA_002684755.1	70.08
GCA_002684855.1	57.67
GCA_002685335.1	46.64
GCA_002685655.1	33.85
GCA_002685935.1	67.02
GCA_002685965.1	77.34
GCA_002686265.1	89.06
GCA_002686595.1	79.3
GCA_002686945.1	70.08
GCA_002686995.1	79.95
GCA_002687715.1	72.76
GCA_002688155.1	51.09
GCA_002688765.1	53.12
GCA_002689385.1	74.22
GCA_002689655.1	97.46
GCA_002690755.1	76.69
GCA_002690925.1	90.86
GCA_002691635.1	72.15
GCA_002691835.1	56.36
GCA_002694955.1	43.44
GCA_002695115.1	70.25
GCA_002696165.1	80.14
GCA_002696915.1	57.16
GCA_002697115.1	48.63
GCA_002698965.1	88.33
GCA_002700745.1	64.62
GCA_002700845.1	61.71
GCA_002701385.1	95.9
GCA_002701545.1	96.08
GCA_002702575.1	81.12
GCA_002702655.1	97.75
GCA_002702685.1	56.84
GCA_002702965.1	78.59
GCA_002704825.1	85.9
GCA_002705055.1	80.66
GCA_002705085.1	74.25
GCA_002705165.1	67.09
GCA_002706765.1	99.41
GCA_002706885.1	72.2
GCA_002708345.1	57.23
GCA_002708465.1	67.76
GCA_002709045.1	93.24
GCA_002709225.1	77.19
GCA_002709295.1	81.25
GCA_002709545.1	57.88
GCA_002709755.1	74.67
GCA_002711105.1	79.88
GCA_002711415.1	78.84
GCA_002711525.1	88.74
GCA_002712395.1	63.25
GCA_002712845.1	50.5
GCA_002713555.1	86.75
GCA_002714565.1	90.76
GCA_002716385.1	76.63
GCA_002716625.1	90.1
GCA_002717145.1	82.85
GCA_002717655.1	77.21
GCA_002718515.1	70.25
GCA_002718815.1	97.36
GCA_002718835.1	52.77
GCA_002719075.1	73.37
GCA_002719375.1	81.64
GCA_002720455.1	70.05
GCA_002720975.1	74.09
GCA_002721355.1	41.99
GCA_002721555.1	77.31
GCA_002722935.1	51.71
GCA_002722955.1	71.97
GCA_002723275.1	97.07
GCA_002723305.1	82.88
GCA_002724245.1	97.17
GCA_002724315.1	94.79
GCA_002724415.1	93.93
GCA_002724985.1	98.63
GCA_002725585.1	78.58
GCA_002725775.1	48.84
GCA_002726205.1	93.15
GCA_002726245.1	87.89
GCA_002726285.1	37.84
GCA_002726515.1	90.46
GCA_002726685.1	90.98
GCA_002726855.1	52.43
GCA_002727185.1	99.41
GCA_002731535.1	44.52
GCA_002731545.1	91.02
GCA_002732755.1	69.27
GCA_002733575.1	95.54
GCA_002737405.1	96.09
GCA_002737495.1	55.7
GCA_002737585.1	53.22
GCA_002746235.1	78.32
GCA_002746535.1	90.58
GCA_002748355.1	82.42
GCA_002839475.1	6.84
GCA_002839495.1	88.61
GCA_002848945.1	98.44
GCA_002862085.1	84.77
GCA_002862165.1	76.58
GCA_002862175.1	77.11
GCA_002862205.1	96.19
GCA_002862225.1	84.85
GCA_002862235.1	75.26
GCA_002862265.1	67.97
GCA_002862275.1	69.35
GCA_002862305.1	80.77
GCA_002862325.1	70.77
GCA_002901265.1	98.05
GCA_002967715.1	98.89
GCA_002967725.1	90.23
GCA_002967755.1	77.08
GCA_002967765.1	98.89
GCA_003044115.1	90.23
GCA_003136315.1	97.82
GCA_003136555.1	85.65
GCA_003141275.1	89.84
GCA_003141315.1	88.67
GCA_003141515.1	68.42
GCA_003141735.1	76.92
GCA_003142275.1	90.88
GCA_003142315.1	87.89
GCA_003142595.1	93.55
GCA_003149495.1	96.65
GCA_003151915.1	88.28
GCA_003152775.1	87.79
GCA_003152915.1	87.7
GCA_003152975.1	75.53
GCA_003153375.1	87.6
GCA_003153655.1	86.65
GCA_003153915.1	77.44
GCA_003154305.1	82.05
GCA_003162245.1	87.99
GCA_003170085.1	88.96
GCA_003170415.1	93.07
GCA_003171235.1	83.33
GCA_003171335.1	92.45
GCA_003228885.1	29.38
GCA_003228945.1	49.47
GCA_003229025.1	30.07
GCA_003229975.1	35.75
GCA_003230035.1	35.2
GCA_003230135.1	33.09
GCA_003230465.1	75.24
GCA_003230645.1	59.17
GCA_003232865.1	32.47
GCA_003233015.1	50.01
GCA_003233055.1	87.99
GCA_003233155.1	41.94
GCA_003233175.1	96.09
GCA_003233355.1	74.59
GCA_003235605.1	61.41
GCA_003235955.1	35.14
GCA_003236015.1	28.61
GCA_003247375.1	47.39
GCA_003247995.1	32.55
GCA_003335485.1	98.89
GCA_003335505.1	98.89
GCA_003335525.1	98.89
GCA_003388505.1	97.85
GCA_003388515.1	98.14
GCA_003388575.1	99.02
GCA_003388615.1	89.84
GCA_003389215.1	97.75
GCA_003389255.1	99.41
GCA_003389325.1	89.06
GCA_003389355.1	98.14
GCA_003390835.1	94.82
GCA_003444075.1	93.39
GCA_003444135.1	83.26
GCA_003444155.1	82.71
GCA_003445035.1	87.55
GCA_003447475.1	76.21
GCA_003448555.1	54.65
GCA_003448795.1	68.98
GCA_003449915.1	64.27
GCA_003450355.1	82.45
GCA_003452155.1	85.27
GCA_003453025.1	69.78
GCA_003453795.1	69.22
GCA_003455945.1	80.36
GCA_003456395.1	77.72
GCA_003456475.1	70.69
GCA_003476265.1	66.29
GCA_003482625.1	64.64
GCA_003484425.1	78.03
GCA_003484885.1	77.56
GCA_003485185.1	79.41
GCA_003486205.1	74.77
GCA_003487565.1	56.72
GCA_003487605.1	62.81
GCA_003488265.1	82.58
GCA_003488325.1	74.92
GCA_003499685.1	71.94
GCA_003499905.1	78.91
GCA_003501305.1	99.41
GCA_003501525.1	62.86
GCA_003501565.1	82.68
GCA_003503535.1	86.38
GCA_003505085.1	74.97
GCA_003505845.1	72.15
GCA_003506095.1	80.36
GCA_003508275.1	82.6
GCA_003508595.1	87.92
GCA_003509045.1	70.75
GCA_003509235.1	71.7
GCA_003509805.1	83.87
GCA_003511945.1	58.93
GCA_003513555.1	94.0
GCA_003516385.1	64.01
GCA_003517085.1	83.85
GCA_003517325.1	84.51
GCA_003519945.1	60.46
GCA_003520025.1	67.17
GCA_003520665.1	53.85
GCA_003523915.1	75.12
GCA_003526145.1	87.08
GCA_003526885.1	70.73
GCA_003528255.1	87.89
GCA_003529565.1	76.62
GCA_003529585.1	81.54
GCA_003531135.1	74.57
GCA_003532715.1	73.13
GCA_003532895.1	64.51
GCA_003533825.1	75.15
GCA_003533905.1	80.53
GCA_003534025.1	64.79
GCA_003540375.1	62.11
GCA_003543355.1	57.14
GCA_003545295.1	81.28
GCA_003550495.1	61.37
GCA_003550845.1	85.68
GCA_003551305.1	90.62
GCA_003551385.1	62.25
GCA_003551485.1	70.42
GCA_003551565.1	86.88
GCA_003551645.1	87.17
GCA_003551785.1	79.08
GCA_003552145.1	74.8
GCA_003552605.1	71.52
GCA_003552965.1	54.45
GCA_003553185.1	85.25
GCA_003553245.1	88.09
GCA_003556405.1	93.16
GCA_003557125.1	54.49
GCA_003557395.1	51.89
GCA_003558595.1	55.54
GCA_003558685.1	40.07
GCA_003558815.1	39.95
GCA_003559755.1	88.57
GCA_003559955.1	91.67
GCA_003560485.1	51.15
GCA_003561085.1	66.47
GCA_003561895.1	88.48
GCA_003562015.1	78.91
GCA_003562195.1	74.67
GCA_003563235.1	96.68
GCA_003563515.1	60.09
GCA_003563555.1	89.06
GCA_003564235.1	47.09
GCA_003564325.1	86.91
GCA_003567095.1	57.04
GCA_003567495.1	78.52
GCA_003567525.1	94.34
GCA_003576845.1	98.93
GCA_003576855.1	90.06
GCA_003576875.1	82.36
GCA_003576905.1	91.34
GCA_003576915.1	90.98
GCA_003577195.1	98.63
GCA_003577215.1	98.24
GCA_003597935.1	60.68
GCA_003644155.1	52.75
GCA_003644175.1	75.23
GCA_003644205.1	75.2
GCA_003644215.1	59.44
GCA_003644235.1	48.94
GCA_003644265.1	78.29
GCA_003644275.1	62.21
GCA_003644295.1	69.63
GCA_003644325.1	64.62
GCA_003644335.1	66.66
GCA_003645725.1	52.65
GCA_003669125.1	84.86
GCA_003669145.1	16.51
GCA_003669165.1	15.46
GCA_003669195.1	24.72
GCA_003669205.1	42.38
GCA_003669215.1	10.86
GCA_003669255.1	57.75
GCA_003669275.1	59.06
GCA_003669285.1	61.5
GCA_003669295.1	70.05
GCA_003669335.1	81.18
GCA_003669345.1	22.14
GCA_003669375.1	34.16
GCA_003669395.1	27.21
GCA_003669415.1	39.18
GCA_003669425.1	31.09
GCA_003669445.1	36.26
GCA_003669475.1	44.71
GCA_003669495.1	36.77
GCA_003669505.1	22.46
GCA_003669525.1	47.14
GCA_003669555.1	56.65
GCA_003669575.1	70.35
GCA_003669585.1	97.85
GCA_003669605.1	81.12
GCA_003669615.1	62.25
GCA_003669655.1	10.42
GCA_003669665.1	23.03
GCA_003669695.1	25.03
GCA_003669705.1	32.26
GCA_003669725.1	24.25
GCA_003669755.1	14.44
GCA_003669765.1	47.73
GCA_003669795.1	72.98
GCA_003670805.1	16.54
GCA_003670825.1	62.68
GCA_003670855.1	49.17
GCA_003670865.1	80.51
GCA_003670885.1	60.14
GCA_003670915.1	75.16
GCA_003670925.1	96.68
GCA_003670955.1	11.59
GCA_003670965.1	14.13
GCA_003670995.1	20.8
GCA_003671005.1	12.4
GCA_003671025.1	84.64
GCA_003671055.1	83.06
GCA_003671065.1	62.97
GCA_003671075.1	81.28
GCA_003671115.1	57.73
GCA_003671125.1	15.95
GCA_003671145.1	36.91
GCA_003671175.1	56.57
GCA_003671185.1	87.27
GCA_003671195.1	93.95
GCA_003671235.1	82.29
GCA_003671255.1	86.78
GCA_003671265.1	85.0
GCA_003671275.1	95.12
GCA_003672035.1	36.62
GCA_003693915.1	50.97
GCA_003694415.1	70.16
GCA_003694635.1	48.08
GCA_003694765.1	65.15
GCA_003694875.1	61.95
GCA_003695305.1	75.18
GCA_003695565.1	88.59
GCA_003695705.1	80.7
GCA_003696025.1	92.17
GCA_003696385.1	89.25
GCA_003696625.1	80.47
GCA_003696675.1	83.92
GCA_003696725.1	87.43
GCA_003697045.1	81.12
GCA_003712165.1	85.22
GCA_003817095.1	52.17
GCA_003818305.1	35.38
GCA_003819915.1	44.69
GCA_003820055.1	45.96
GCA_003820145.1	26.97
GCA_003973205.1	68.29
GCA_003977685.1	98.83
GCA_004213555.1	75.46
GCA_004213685.1	72.8
GCA_004282735.1	98.24
GCA_004282745.1	98.63
GCA_004295085.1	84.18
GCA_004296785.1	73.91
GCA_004351875.1	98.63
GCA_004357645.1	49.33
GCA_004357655.1	75.68
GCA_004376375.1	90.72
GCA_004525105.1	43.42
GCA_004556055.1	65.61
GCA_005223045.1	90.23
GCA_005239585.1	65.63
GCA_005239675.1	79.29
GCA_005239725.1	70.12
GCA_005239795.1	82.78
GCA_005239935.1	83.98
GCA_005240095.1	82.55
GCA_005524015.1	99.02
GCA_005772855.1	90.82
GCA_005772955.1	91.15
GCA_005773035.1	73.26
GCA_005773095.1	77.18
GCA_005773105.1	0.65
GCA_005773145.1	80.24
GCA_005773195.1	39.25
GCA_005773265.1	50.35
GCA_005773305.1	40.53
GCA_005773625.1	80.6
GCA_005773745.1	69.52
GCA_005773755.1	64.04
GCA_005776365.1	62.0
GCA_005776475.1	72.17
GCA_005776545.1	51.55
GCA_005776685.1	48.31
GCA_005776885.1	80.13
GCA_005776895.1	78.16
GCA_005777005.1	44.44
GCA_005777215.1	3.78
GCA_005777715.1	2.96
GCA_005777815.1	77.08
GCA_005777835.1	95.31
GCA_005777855.1	70.17
GCA_005777915.1	78.55
GCA_005778015.1	74.02
GCA_005778025.1	4.43
GCA_005778045.1	65.27
GCA_005778115.1	87.11
GCA_005778145.1	65.95
GCA_005778225.1	91.93
GCA_005778385.1	6.45
GCA_005778405.1	93.92
GCA_005778455.1	71.31
GCA_005778625.1	5.67
GCA_005778705.1	11.6
GCA_005778725.1	65.49
GCA_005778825.1	58.95
GCA_005778935.1	6.46
GCA_005779075.1	86.17
GCA_005779365.1	30.71
GCA_005779465.1	4.0
GCA_005779585.1	46.99
GCA_005779745.1	20.51
GCA_005786805.1	82.06
GCA_005787065.1	2.93
GCA_005787455.1	49.56
GCA_005787685.1	83.14
GCA_005788125.1	2.96
GCA_005788505.1	22.51
GCA_005788535.1	37.55
GCA_005788705.1	80.05
GCA_005788775.1	34.44
GCA_005788805.1	52.56
GCA_005788925.1	14.45
GCA_005789005.1	74.97
GCA_005789645.1	70.78
GCA_005789675.1	45.21
GCA_005789975.1	76.35
GCA_005790005.1	15.04
GCA_005790025.1	13.71
GCA_005790065.1	1.17
GCA_005790085.1	28.67
GCA_005790095.1	1.04
GCA_005790305.1	90.95
GCA_005790545.1	79.1
GCA_005790565.1	79.07
GCA_005790605.1	83.04
GCA_005791135.1	15.04
GCA_005791185.1	1.42
GCA_005791255.1	86.2
GCA_005791365.1	1.82
GCA_005791445.1	0.98
GCA_005791525.1	61.95
GCA_005791575.1	85.16
GCA_005791805.1	17.87
GCA_005791815.1	24.12
GCA_005791845.1	92.25
GCA_005792145.1	81.61
GCA_005792155.1	4.62
GCA_005792245.1	58.34
GCA_005792425.1	41.12
GCA_005792765.1	13.51
GCA_005792915.1	90.04
GCA_005793125.1	79.04
GCA_005793155.1	2.05
GCA_005793445.1	69.98
GCA_005793455.1	2.77
GCA_005793475.1	76.99
GCA_005793545.1	67.37
GCA_005793745.1	56.5
GCA_005798005.1	1.66
GCA_005798335.1	94.48
GCA_005798425.1	2.5
GCA_005798445.1	86.43
GCA_005798485.1	85.55
GCA_005798935.1	77.7
GCA_005798965.1	68.01
GCA_005799185.1	18.97
GCA_005799205.1	73.81
GCA_005799265.1	84.24
GCA_005799465.1	80.92
GCA_005799475.1	78.06
GCA_005799495.1	82.55
GCA_005799545.1	78.35
GCA_005799575.1	78.32
GCA_005799655.1	42.58
GCA_005799675.1	26.22
GCA_005799705.1	23.57
GCA_005799835.1	47.14
GCA_005799845.1	0.59
GCA_005799885.1	34.64
GCA_005799905.1	64.65
GCA_005800045.1	22.67
GCA_005800225.1	81.18
GCA_005800415.1	56.38
GCA_005800635.1	74.98
GCA_005800905.1	90.56
GCA_005800985.1	16.11
GCA_005801125.1	0.1
GCA_005801395.1	55.65
GCA_005801465.1	94.73
GCA_005801495.1	74.02
GCA_005803845.1	39.92
GCA_005804005.1	47.06
GCA_005804045.1	62.7
GCA_005804055.1	77.39
GCA_005804145.1	16.26
GCA_005804465.1	78.84
GCA_005804485.1	55.66
GCA_005804605.1	78.68
GCA_005804745.1	93.62
GCA_005804975.1	0.39
GCA_005805125.1	78.16
GCA_005805155.1	80.4
GCA_005805195.1	79.17
GCA_005805245.1	27.46
GCA_005805325.1	1.95
GCA_005805345.1	69.42
GCA_005808425.1	50.79
GCA_005808465.1	85.28
GCA_005808565.1	55.52
GCA_005808665.1	95.12
GCA_005808685.1	78.11
GCA_005808715.1	74.89
GCA_005809115.1	67.38
GCA_005809225.1	74.45
GCA_005887905.1	67.07
GCA_006969385.1	93.68
GCA_007118035.1	66.68
GCA_007119405.1	56.22
GCA_007119795.1	57.55
GCA_007121535.1	95.9
GCA_007121565.1	70.35
GCA_007122045.1	70.01
GCA_007122275.1	88.05
GCA_007122795.1	52.02
GCA_007124075.1	82.91
GCA_007124345.1	70.23
GCA_007124535.1	81.66
GCA_007124655.1	94.73
GCA_007125255.1	55.95
GCA_007125385.1	72.23
GCA_007125615.1	57.11
GCA_007126245.1	66.42
GCA_007127095.1	95.31
GCA_007127275.1	58.31
GCA_007127285.1	72.92
GCA_007127495.1	77.8
GCA_007127615.1	69.24
GCA_007128795.1	51.56
GCA_007129635.1	68.49
GCA_007129865.1	65.92
GCA_007130385.1	75.46
GCA_007131555.1	76.4
GCA_007131925.1	89.32
GCA_007132045.1	56.5
GCA_007133715.1	78.13
GCA_007135285.1	65.89
GCA_007135295.1	65.82
GCA_007135515.1	57.84
GCA_007135525.1	94.47
GCA_007135695.1	52.01
GCA_007135925.1	75.63
GCA_007280255.1	89.4
GCA_007281315.1	38.2
GCA_007618135.1	98.24
GCA_007618145.1	84.57
GCA_007618155.1	98.44
GCA_007693455.1	87.53
GCA_007693725.1	79.88
GCA_007693765.1	84.54
GCA_007693785.1	84.64
GCA_007693845.1	81.58
GCA_007693965.1	89.52
GCA_007694185.1	97.85
GCA_007694925.1	78.06
GCA_007695205.1	95.12
GCA_007695355.1	88.77
GCA_007741475.1	99.22
GCA_007741495.1	99.02
GCA_007741515.1	97.56
GCA_007741535.1	99.02
GCA_007741555.1	98.44
GCA_007743815.1	97.75
GCA_007744075.1	99.41
GCA_007744255.1	97.92
GCA_007744515.1	98.67
GCA_007744675.1	99.02
GCA_007744975.1	99.02
GCA_007745175.1	98.05
GCA_007745435.1	98.67
GCA_007745635.1	98.63
GCA_007745835.1	97.36
GCA_007746075.1	97.75
GCA_007746295.1	99.41
GCA_007746535.1	99.41
GCA_007746795.1	99.41
GCA_007747015.1	99.41
GCA_007747215.1	98.21
GCA_007747445.1	96.09
GCA_007747655.1	99.41
GCA_007747795.1	99.41
GCA_007747995.1	99.02
GCA_007748015.1	99.41
GCA_007748035.1	97.17
GCA_007748055.1	98.24
GCA_007748075.1	95.9
GCA_007748095.1	87.3
GCA_007748115.1	98.7
GCA_007748135.1	99.41
GCA_007748155.1	99.41
GCA_007748175.1	99.41
GCA_007748195.1	99.41
GCA_007750395.1	99.02
GCA_007750655.1	86.72
GCA_007750855.1	97.36
GCA_007751035.1	99.28
GCA_007751255.1	87.3
GCA_007751475.1	86.0
GCA_007751715.1	99.22
GCA_007751945.1	99.41
GCA_007752135.1	98.62
GCA_007752345.1	99.41
GCA_007752535.1	98.63
GCA_007752755.1	99.22
GCA_007752935.1	99.09
GCA_007753095.1	99.22
GCA_007753265.1	96.97
GCA_007753455.1	96.97
GCA_007753675.1	99.41
GCA_007753915.1	89.78
GCA_007754155.1	99.22
GCA_007754425.1	99.41
GCA_007859715.1	98.63
GCA_007859735.1	98.11
GCA_007859745.1	89.06
GCA_007859755.1	99.41
GCA_007859765.1	97.23
GCA_007859815.1	97.36
GCA_007859835.1	99.02
