DATASET_SIMPLEBAR
#In simple bar charts, each ID is associated to a single numeric value which is displayed as a bar outside the tree.
#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,label 1
ASV47474.1,330
ASV47407.1,330
ASV47495.1,331
ASV47479.1,330
ASV47426.1,330
ASV47408.1,331
ASV47333.1,331
ASV47387.1,330
ASV47338.1,330
ASV47485.1,330
ASV47443.1,327
ASV47374.1,331
ASV47490.1,331
ASV47339.1,331
ASV47476.1,330
ASV47454.1,330
ASV47365.1,331
ASV47383.1,331
ASV47371.1,329
ASV47344.1,331
ASV47406.1,331
ASV47475.1,331
ASV47409.1,331
ASV47411.1,326
ASV47441.1,327
ASV47337.1,331
ASV47435.1,331
ASV47494.1,330
ASV47447.1,329
ASV47478.1,330
ASV47461.1,327
ASV47384.1,330
ASV47446.1,327
ASV47393.1,329
ASV47460.1,327
ASV47418.1,329
ASV47436.1,326
ASV47444.1,327
ASV47386.1,325
ASV47462.1,330
ASV47342.1,329
ASV47373.1,329
ASV47442.1,327
AEW50025.1,301
ASV47425.1,322
AEW50024.1,298
ASV47434.1,317
AEW50028.1,318
AEW50018.1,301
AEW50019.1,301
ASV47421.1,299
AEW50020.1,301
AEW50009.1,307
AGV76941.1,441
AGV76940.1,441
AGV76939.1,441
AGV76932.1,441
AGV76942.1,441
AGV76914.1,441
AGV76917.1,441
AGV76924.1,441
AVA31746.1,436
AGV76930.1,441
AVA31742.1,437
AGV76937.1,441
AGV76923.1,441
AVA31764.1,436
AVA31754.1,437
AVA31745.1,437
AGV76929.1,441
AVA31759.1,439
AGV76938.1,441
AGV76934.1,437
AVA31750.1,436
AGV76915.1,441
AVA31749.1,437
AGV76918.1,437
AGV76913.1,437
AGV76922.1,441
AVA31765.1,439
AEW50010.1,286
AVA31738.1,436
AGV76935.1,437
AGV76931.1,437
AVA31739.1,433
AVA31761.1,435
AVA31756.1,436
AGV76916.1,437
AVA31743.1,436
AGV76919.1,437
AVA31763.1,432
AVA31758.1,432
AVA31740.1,437
AVA31751.1,432
AVA31753.1,432
AGV76927.1,435
AGV76928.1,435
AGV76926.1,435
AVA31736.1,432
AVA31762.1,432
AVA31755.1,432
AGV76925.1,435
AVA31735.1,432
AVA31757.1,432
AGV76921.1,435
AVA31760.1,432
AVA31744.1,432
AGV76933.1,435
AEW50038.1,428
AVA31747.1,432
AVA31752.1,434
AVA31741.1,432
BAM67149.1,428
AGV76920.1,435
AVA31737.1,432
AEW50011.1,276
BAM67148.1,428
AVA31748.1,432
BAM67150.1,428
AFK83220.1,282
AEW50039.1,428
AFK83221.1,282
AEW50036.1,428
AFK83231.1,282
AEW50037.1,428
AFK83232.1,282
AFK83218.1,282
AFK83215.1,281
AFK83234.1,282
AFK83216.1,282
AFK83213.1,281
AFK83237.1,282
AEW50033.1,428
AEW50035.1,428
AFK83212.1,282
AEW50034.1,428
AFK83219.1,282
AFK83233.1,282
AEW50040.1,428
AFK83225.1,282
AFK83211.1,278
AFK83214.1,273
AGV76947.1,364
AGV76943.1,364
AGV76961.1,364
AFK83229.1,255
AGV76969.1,364
AGV76951.1,364
AGV76957.1,364
AGV76982.1,364
AGV76975.1,364
AGV76989.1,364
AGV76967.1,364
AGV76945.1,364
AGV76955.1,364
AGV76950.1,364
AGV76978.1,364
AGV76949.1,364
AGV76987.1,364
AGV76988.1,364
AGV76973.1,363
AGV76968.1,364
AGV76953.1,364
AGV76983.1,364
AGV76985.1,364
AGV76976.1,364
AGV76963.1,364
AGV76962.1,364
AGV76948.1,364
AGV76977.1,364
AGV76965.1,364
AGV76954.1,364
AGV76960.1,364
AGV76958.1,364
AGV76990.1,363
AGV76944.1,364
AGV76952.1,364
AGV76959.1,364
AGV76981.1,364
AGV76966.1,364
AGV76946.1,364
AGV76986.1,364
AGV76974.1,364
AGV76970.1,364
AGV76980.1,364
AGV76984.1,364
AGV76971.1,365
AGV76972.1,364
AGV76991.1,365
AGV76964.1,364
AFK83226.1,263
AFK82889.1,269
AGV76956.1,349
AFK83230.1,227
AFK83222.1,222
AFK83061.1,292
AFK83228.1,201
AFK83063.1,311
AFK83062.1,304
AFK82885.1,279
AFK82884.1,279
AFK82888.1,266
AFK83058.1,266
AFK83059.1,265
AFK82887.1,255
CCN79817.1,233
CCN79816.1,203
AFK83060.1,207
RIK81630.1,778
KAA3614825.1,742
RMF61662.1,406
RIK57578.1,623
KAA0223259.1,626
PJJ87430.1,333
KPJ96930.1,298
TVS15483.1,823
OHB66010.1,814
TKJ37528.1,841
OLA86340.1,782
OGV68232.1,831
PWL67742.1,782
RIK77340.1,833
RME92726.1,635
TKJ38162.1,852
TET96051.1,793
WP_147589969.1,824
WP_022390949.1,827
WP_009316639.1,827
WP_122337392.1,827
ERM88165.1,813
WP_122304468.1,827
WP_128135720.1,777
WP_111708805.1,454
WP_136060013.1,865
VGO18540.1,867
RME94156.1,868
WP_136050010.1,368
WP_075555683.1,787
WP_130594701.1,873
OHB81692.1,822
WP_129730280.1,787
OGV66109.1,757
KPJ70458.1,831
WP_007655748.1,787
TWT81045.1,796
WP_146396567.1,785
KPK43285.1,831
WP_051214505.1,765
WP_046148029.1,787
RJP19677.1,874
WP_010801492.1,787
SPE23188.1,514
WP_122354358.1,787
RMG00417.1,837
WP_146410735.1,812
WP_122373828.1,787
WP_136079399.1,840
RIK83725.1,844
WP_028728260.1,787
OVE74168.1,872
WP_146439552.1,812
WP_145303001.1,812
KPK80443.1,793
WP_148216418.1,894
ADE56053.1,889
RMF92472.1,808
TVS10746.1,826
PWM28575.1,816
OHE79350.1,888
WP_048314444.1,787
RJP19664.1,775
WP_128133100.1,787
OGV70867.1,841
WP_136059800.1,820
WP_071135322.1,767
WP_122329361.1,787
WP_129699132.1,787
RME91842.1,814
WP_146394012.1,783
WP_122147094.1,791
KPJ72384.1,771
OGV70383.1,799
WP_136061035.1,873
WP_122363657.1,787
TVS19457.1,781
WP_136060199.1,785
TAN36310.1,861
TVS10152.1,784
WP_136059607.1,777
PIW20069.1,878
OHB57427.1,861
PIY54244.1,809
OIP02557.1,809
WP_137081755.1,787
TKJ36800.1,814
OGV64287.1,873
CDE65648.1,792
WP_082211433.1,872
OGR57402.1,451
TVS10447.1,854
WP_143919697.1,844
WP_048696768.1,844
WP_148364429.1,837
WP_046148513.1,827
WP_016268301.1,844
WP_119200144.1,844
WP_061473968.1,844
WP_117576980.1,844
CDE78753.1,844
WP_028726204.1,829
WP_054959601.1,844
WP_070750153.1,827
WP_055217026.1,844
WP_075556875.1,829
WP_117860548.1,844
WP_055300126.1,844
WP_008760092.1,844
WP_122375972.1,827
WP_130041615.1,844
WP_122146236.1,829
WP_122354014.1,827
WP_011109257.1,844
WP_008764576.1,844
WP_122327214.1,829
WP_046145125.1,829
WP_048317541.1,829
RKY05266.1,701
OHE77644.1,831
WP_010802354.1,829
WP_007657537.1,829
WP_128134320.1,829
WP_095414602.1,838
OGV70870.1,748
WP_129735509.1,827
WP_117977646.1,844
TKJ34825.1,858
OGV65704.1,815
WP_146529069.1,814
TVS13789.1,734
EDM20947.1,750
ABJ87011.1,433
WP_150173411.1,455
WP_026446515.1,454
OHB84604.1,784
PIW13376.1,619
WP_146659126.1,840
WP_133164812.1,465
SPE31643.1,475
WP_146528711.1,854
WP_136060030.1,815
PIW19255.1,631
KAA5431064.1,531
KPK48097.1,813
OHE79351.1,813
TDI83571.1,472
AYR30960.1,845
OHB85146.1,900
OJY25718.1,779
WP_146647853.1,779
KPL21404.1,856
KPK43268.1,829
OHB74228.1,812
WP_106807919.1,456
TKJ34008.1,843
WP_137084681.1,789
PIZ38003.1,859
TVS20677.1,879
PWM29297.1,882
VGO14470.1,781
WP_136079949.1,756
TKJ32976.1,852
WP_105314074.1,462
CDE85114.1,802
TKJ39533.1,766
WP_077154966.1,836
SHF96288.1,827
WP_148371258.1,836
WP_083564706.1,836
GCB35278.1,819
WP_125041229.1,836
WP_120465882.1,837
WP_065540264.1,831
WP_089280696.1,837
WP_070753004.1,844
CDC88694.1,838
WP_109114896.1,844
WP_029425368.1,844
WP_135998648.1,837
WP_143024860.1,837
SDI64209.1,831
WP_117936619.1,837
WP_122137374.1,837
WP_085938583.1,837
EFS30481.2,831
WP_099146229.1,837
WP_116932155.1,858
TKJ35028.1,836
SPF40031.1,432
WP_133172782.1,430
TVS14373.1,745
WP_146601927.1,839
WP_136061135.1,832
WP_010243039.1,704
WP_004618891.1,704
WP_020817252.1,704
OGV60190.1,495
TVQ65928.1,472
WP_136060702.1,749
WP_137696855.1,704
TVS11694.1,714
OHB73749.1,846
WP_053232539.1,763
WP_109487900.1,470
KPK48332.1,601
OHE81389.1,688
OHB61854.1,785
OHB70582.1,771
RLD56388.1,483
RLD87846.1,460
RLD70401.1,483
WP_149942228.1,837
WP_087318294.1,837
WP_115484310.1,837
WP_138342105.1,837
WP_118218826.1,837
WP_004325056.1,831
WP_085930468.1,837
OUQ67236.1,831
WP_138293863.1,837
WP_117514974.1,837
WP_087322595.1,837
WP_149966893.1,837
WP_004320729.1,837
WP_149964636.1,837
EGN03729.1,831
WP_149966235.1,725
WP_085929265.1,837
WP_149960109.1,837
TVS17598.1,832
KAA4021514.1,557
RMF99104.1,645
TSA32485.1,439
KPK41551.1,456
KPK41839.1,427
KPK55072.1,400
WP_146530306.1,312
KPK80445.1,343
KPK41840.1,390
RKY08496.1,659
RKY08498.1,786
OGV62816.1,889
OLA85543.1,814
OHB79028.1,744
WP_136061054.1,808
PWL68622.1,814
PWM32909.1,826
WP_146529579.1,844
VGO14579.1,818
WP_136080050.1,772
WP_146395364.1,889
TKJ38300.1,787
WP_146526463.1,889
TKJ33427.1,785
TWT85096.1,830
WP_146403112.1,891
KPK44417.1,900
KPJ72551.1,848
KPK48024.1,854
PWM28999.1,883
WP_024831997.1,704
WP_036942004.1,706
OHB79443.1,796
RCX08492.1,749
WP_114300197.1,714
OGV67886.1,856
VGO14578.1,822
WP_136080049.1,707
WP_136061053.1,825
KAA6300185.1,626
TVS20669.1,796
KPK43126.1,644
WP_146400329.1,866
OVE80643.1,563
KEJ87219.1,889
PIW13565.1,707
RKY07296.1,467
WP_146531560.1,860
KPK74976.1,318
KAA5428793.1,600
RMF89444.1,414
KPK37437.1,400
PIY52883.1,246
KAA3937146.1,479
KAA4184104.1,474
RKY09705.1,291
RMF94739.1,347
OIO96512.1,254
KAA4235510.1,443
KAA4256012.1,605
KPK42837.1,600
KAA3836813.1,354
KPK48030.1,297
OHB83543.1,343
KPJ81402.1,860
OHB83981.1,449
RPI96836.1,466
OQW94807.1,262
OHB79845.1,607
RMH03326.1,419
RLJ22182.1,876
RDH86985.1,884
WP_072067696.1,601
KAA3849493.1,482
KAA4650985.1,409
WP_136079171.1,293
KAA4186096.1,371
RPH51401.1,504
PJA88183.1,266
OIP04010.1,376
WP_146528666.1,896
WP_078484166.1,843
RLB55629.1,706
PZN24914.1,773
RMF98125.1,835
000019965v1_03042,683
000296795v1_00436,810
000296795v1_03650,810
000315095v1_00925,362
000315115v1_02791,809
000786775v1_01606,806
000949635v1_00672,800
000949635v1_02663,800
001303465v1_01537,598
001567345v1_00148,800
001723765v1_01057,804
001753675v2_01376,801
001824485v1_00175,169
001824525v1_00795,815
001825635v1_01265,206
001825655v1_01235,206
001828265v1_00857,150
001828265v1_00858,435
001828335v1_02104,669
001828345v1_02419,720
001828385v1_01650,815
001828415v1_00877,168
001828465v1_00396,569
001828515v1_02204,806
001828565v1_00460,815
001828595v1_00556,806
001828605v1_00435,815
001828635v1_01306,266
001828635v1_02253,266
001828645v1_00555,810
001828665v1_02164,485
001830275v1_00475,815
001830315v1_00134,206
002009475v1_01907,808
002050325v1_01587,810
002277955v1_01991,679
002402755v1_00439,638
002443295v1_04123,807
002632345v1_03608,806
002848945v1_02835,801
003152975v1_00877,630
003247995v1_00905,513
003452155v1_02730,638
003533825v1_02536,693
003545295v1_01182,810
003556405v1_00900,646
003563235v1_08831,628
003567525v1_04992,628
003576845v1_03990,801
003577215v1_01347,800
003577215v1_03336,800
003694415v1_00117,674
004282735v1_00032,810
004282745v1_00682,806
004351875v1_00864,806
005223045v1_00239,682
005524015v1_03303,810
005773035v1_01954,941
005789645v1_01739,941
005800635v1_01565,941
005805345v1_02935,941
007119795v1_00030,648
007121535v1_01887,628
007122275v1_02772,642
007124535v1_01684,646
007126245v1_02294,648
007133715v1_02425,624
007135285v1_00767,522
007618135v1_02306,810
007618145v1_00817,809
007618155v1_00374,801
007860005v1_02188,810
007860005v1_02674,810
007860135v1_03743,663
008087625v1_05015,608
008363395v1_00565,800
008363395v1_00993,800
008501815v1_02983,806
008636105v1_01248,803
008933285v1_01418,808
900232105v1_02713,809
900232105v1_03603,809
900232175v1_01560,809
900232175v1_03517,809
900232175v1_05438,809
900232175v1_06666,134
900232175v1_06667,335
900232175v1_06668,83
900232175v1_07728,809
900696475v1_03325,810
900696655v1_02471,817
900696675v1_02366,809
Q1Q0T2,809
WP_007222835.1,377
TLD39958.1,377
RIJ91977.1,393
WP_052562267.1,376
OHC13145.1,376
WP_143299286.1,376
RZV56257.1,376
KKO20885.1,376
WP_146328114.1,376
RIJ93558.1,407
TVL96611.1,367
OQZ03716.1,367
WP_099326591.1,380
SOH05190.1,377
WP_099325810.1,387
Q1Q0T4.1,386
OQD44554.1,383
5C2V_B,352
OOP55814.1,316
TVL97566.1,313
RZV91382.1,378
ODS33867.1,378
OHB88235.1,378
OHB38212.1,379
WP_146327604.1,275
AMD37986.1,108
AMD37987.1,108
AMD37918.1,108
AMD37982.1,108
AMD37964.1,108
AMD37972.1,108
AMD37993.1,108
AMD37769.1,108
AMD37985.1,108
AMD37975.1,108
AMD37973.1,108
AMD37787.1,108
AMD37912.1,108
AMD37940.1,108
AMD37875.1,108
AMD37887.1,108
AMD37768.1,108
AMD37937.1,108
AMD37785.1,108
AMD37789.1,108
AMD37935.1,108
AMD37958.1,108
AMD37908.1,108
AMD37775.1,108
AMD37910.1,108
AMD37776.1,108
AMD37911.1,108
AMD37957.1,108
AMD37994.1,108
AMD37773.1,108
AMD37988.1,108
AMD37930.1,108
AMD37799.1,108
AMD37774.1,108
AMD37903.1,108
AMD37889.1,108
AMD37953.1,108
AMD37885.1,108
AMD37942.1,108
AMD37919.1,108
AMD37909.1,108
AMD37902.1,108
AMD37923.1,108
AMD37936.1,108
AMD37876.1,108
AMD37913.1,108
AMD37905.1,108
AMD37551.1,107
AMD37596.1,107
AMD37585.1,107
AMD37795.1,108
AMD37801.1,108
AMD37914.1,108
AMD37956.1,108
AMD37954.1,108
AMD37613.1,107
AMD37566.1,107
AMD37564.1,107
AMD37569.1,107
AMD37567.1,107
AMD37584.1,107
AMD37554.1,107
AMD37556.1,107
AMD37552.1,107
AMD37590.1,107
AMD37559.1,107
AMD37580.1,107
AMD37612.1,107
AMD37616.1,107
AMD37798.1,104
AMD37963.1,102
AMD37881.1,103
AMD37579.1,103
AMD37691.1,108
AMD37694.1,108
AMD37698.1,108
AMD37701.1,108
AMD37693.1,108
AMD37709.1,108
AMD37696.1,108
AMD37730.1,108
AMD37672.1,108
AMD37743.1,108
AMD37680.1,108
AMD37681.1,108
AMD37683.1,108
AMD37695.1,108
AMD37674.1,108
AMD37700.1,108
AMD37713.1,108
AMD37948.1,108
AMD37729.1,108
AMD37726.1,108
AMD37711.1,108
AMD37739.1,108
AMD37741.1,108
AMD37650.1,108
AMD37516.1,108
AMD37647.1,108
AMD37543.1,108
AMD37521.1,108
AMD37641.1,108
AMD37718.1,108
AMD37712.1,108
AMD37520.1,108
AMD37649.1,108
AMD37523.1,108
AMD37524.1,108
AMD37710.1,108
AMD37734.1,108
AMD37737.1,108
AMD37714.1,108
AMD37535.1,108
AMD37625.1,108
AMD37830.1,108
AMD37716.1,108
AMD37708.1,108
AMD37634.1,108
AMD37660.1,108
AMD37645.1,108
AMD37631.1,108
AMD37825.1,108
AMD37746.1,108
AMD37539.1,108
AMD37545.1,108
AMD37537.1,108
AMD37632.1,107
AMD37846.1,108
AMD37657.1,108
AMD37760.1,108
AMD37627.1,108
AMD37720.1,108
AMD37665.1,108
AMD37759.1,108
AMD37688.1,108
AMD37624.1,108
AMD37731.1,108
AMD37865.1,108
AMD37761.1,108
AMD37750.1,108
AMD37807.1,108
AMD37517.1,108
AMD37814.1,108
AMD37722.1,108
AMD37530.1,108
AMD37542.1,108
AMD37638.1,108
AMD37745.1,108
AMD37832.1,108
AMD37659.1,108
AMD37719.1,108
AMD37862.1,108
AMD37828.1,108
AMD37858.1,108
AMD37848.1,108
AMD37744.1,108
AMD37852.1,108
AMD37821.1,108
AMD37874.1,108
AMD37842.1,108
AMD37663.1,108
AMD37839.1,108
AMD37806.1,108
AMD37873.1,108
AMD37850.1,108
AMD37845.1,108
AMD37864.1,108
AMD37861.1,108
AMD37518.1,108
AMD37867.1,108
AMD37733.1,104
AMD37540.1,105
AMD37841.1,108
AMD37856.1,108
AMD37857.1,108
AMD37648.1,104
AMD37843.1,108
AMD37826.1,108
AMD37840.1,108
AMD37538.1,104
AMD37824.1,108
AMD37546.1,104
AMD37849.1,108
RLD70402.1,464
PYX72556.1,478
RME93974.1,488
OYV83051.1,411
WP_083671125.1,460
WP_020466301.1,429
RKX33158.1,422
RKY67280.1,362
OAI56222.1,424
RMF99449.1,293
GDX91886.1,418
WP_145267324.1,273
QDV32898.1,243
RPJ51012.1,490
RPJ85367.1,472
RMG04171.1,439
KPL08601.1,451
RLD71298.1,360
WP_150173416.1,422
RLD94038.1,237
PYX72557.1,148
OHB78080.1,379
THB78008.1,105
RKY61747.1,137
WP_141333445.1,284
WP_147094704.1,396
OIO39842.1,176
WP_147445219.1,460
RPJ54513.1,182
OHB82231.1,449
WP_008148373.1,475
CDD92943.1,481
KPK43298.1,473
KAA4630742.1,369
KAA4222928.1,366
WP_149948591.1,475
QAA48445.1,430
PIY35558.1,191
BAJ06930.1,203
TFG49134.1,384
KPK43487.1,125
OHB53625.1,137
TNF71232.1,469
RPJ81636.1,214
OHB83517.1,230
RME95665.1,192
WP_100395534.1,202
CUS98746.1,185
WP_072211528.1,185
WP_140945473.1,186
WP_047134885.1,185
PIQ91202.1,176
OGX38308.1,175
PIQ89516.1,176
RKY91376.1,198
OQX57417.1,198
RJP17296.1,211
RKY88374.1,198
RKY76566.1,198
OGG45201.1,180
OGH62764.1,180
RJP75134.1,179
RKY85669.1,198
OGH58505.1,212
OGX13672.1,180
OGW82230.1,166
OGU49466.1,182
KAA0223417.1,183
RIK72290.1,183
RLT18518.1,401
OJW22077.1,435
PIY49803.1,395
RME95498.1,239
PZC45297.1,498
PYJ05711.1,409
PHX63419.1,188
KYG07834.1,342
RMG29061.1,180
OQX91791.1,180
KPJ49760.1,171
KAA3662584.1,184
RMI02867.1,217
RMD91102.1,186
OGC92292.1,168
KAA3615308.1,183
PJA29325.1,182
WP_008964320.1,364
KYF53894.1,425
WP_009029841.1,357
KYF64051.1,417
KYF49028.1,427
KYF52902.1,432
WP_146653653.1,500
RYE91926.1,354
000296795v1_00438,377
000296795v1_03652,377
000315095v1_01469,367
000315115v1_02789,367
000949635v1_00674,376
000949635v1_02661,376
000987375v1_00374,376
001567345v1_03035,376
001610895v1_03986,609
001723765v1_01055,378
001753675v2_01374,376
001824525v1_00793,379
001828335v1_02108,722
001828335v1_03657,630
001828385v1_01112,379
001828515v1_01092,378
001828565v1_00539,379
001828595v1_00558,378
001828605v1_00433,379
001828665v1_00584,376
001830275v1_00666,379
001956985v1_04929,623
002009475v1_02642,308
002050325v1_01585,361
002402755v1_00441,958
002701545v1_04297,602
002848945v1_02837,361
003151915v1_05545,617
003153375v1_00565,608
003389325v1_02090,607
