LABELS
#use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#NODE_ID,LABEL

#Examples
#define a name for an internal node
#9031|9606,Metazoa

#change the label for leaf node 9606
#9606,Homo sapiens
003229025v1_00623,003229025v1_00623 (Planctomycetaceae bacterium SZUA-119)
003233175v1_00288,003233175v1_00288 (Planctomycetaceae bacterium SZUA-33)
007859835v1_02481,007859835v1_02481 (Planctomycetes bacterium CA13 )
007860135v1_05225,007860135v1_05225 (Planctomycetes bacterium Poly41 )
003532715v1_01715,003532715v1_01715 (Planctomycetaceae bacterium UBA11386)
001746835v1_02681,001746835v1_02681 (Lacunisphaera limnophila )
002685935v1_01349,002685935v1_01349 (Planctomycetaceae bacterium ARS64)
003230465v1_00389,003230465v1_00389 (Planctomycetales bacterium SZUA-211)
000025185v1_00768,000025185v1_00768 (Pirellula staleyi DSM 6068 )
002483025v1_02487,002483025v1_02487 (Planctomycetaceae bacterium UBA7678 UBA7678)
007747655v1_06387,007747655v1_06387 (Planctomycetes bacterium ETA_A8 )
002359185v1_02581,002359185v1_02581 (Planctomycetaceae bacterium UBA2671 UBA2671)
002731545v1_03132,002731545v1_03132 (Rubinisphaera sp. NP109)
003531135v1_01920,003531135v1_01920 (Planctomycetaceae bacterium UBA10695)
002967725v1_05135,002967725v1_05135 (Blastopirellula marina )
003044115v1_05135,003044115v1_05135 (Blastopirellula marina )
002689655v1_01702,002689655v1_01702 (Rhodopirellula sp. MED661)
007860175v1_04344,007860175v1_04344 (Rubripirellula reticaptiva )
002726245v1_04577,002726245v1_04577 (Planctomycetaceae bacterium NP86)
000186345v1_00753,000186345v1_00753 (Isosphaera pallida ATCC 43644 )
000242455v3_04932,000242455v3_04932 (Singulisphaera acidiphila DSM 18658 )
000255675v1_04212,000255675v1_04212 (Singulisphaera acidiphila DSM 18658 )
900129635v1_04244,900129635v1_04244 (Singulisphaera sp. GP187 )
001898385v1_00079,001898385v1_00079 (Planctomycetales bacterium 71-10 71-10)
003977685v1_00766,003977685v1_00766 (Tautonia sociabilis )
007752535v1_02080,007752535v1_02080 (Planctomycetes bacterium ElP )
009177065v1_05511,009177065v1_05511 (Aquisphaera sp. JC650 )
003696385v1_03074,003696385v1_03074 (Planctomycetes bacterium J052)
007859735v1_02886,007859735v1_02886 (Planctomycetes bacterium KOR42 )
005773265v1_01841,005773265v1_01841 (Planctomycetia bacterium F1-120-MAGs016)
005786805v1_00488,005786805v1_00488 (Planctomycetia bacterium F1-20-MAGs202)
000296795v1_00437,000296795v1_00437 (Candidatus Jettenia caeni )
000296795v1_03651,000296795v1_03651 (Candidatus Jettenia caeni )
001828645v1_00554,001828645v1_00554 (Planctomycetes bacterium RIFOXYC2_FULL_41_27 )
900696475v1_01018,900696475v1_01018 (uncultured Candidatus Brocadia sp. AMX3.fa.gz)
005524015v1_03302,005524015v1_03302 (Candidatus Jettenia ecosi J2)
000296795v1_02989,000296795v1_02989 (Candidatus Jettenia caeni )
005524015v1_02559,005524015v1_02559 (Candidatus Jettenia ecosi J2)
000315095v1_00926,000315095v1_00926 (Candidatus Kuenenia stuttgartiensis enrichment culture clone CH1 )
000315115v1_02790,000315115v1_02790 (Candidatus Kuenenia stuttgartiensis enrichment culture clone RU1 )
900232105v1_02704,900232105v1_02704 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
900232105v1_02712,900232105v1_02712 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
900232175v1_01559,900232175v1_01559 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232175v1_07729,900232175v1_07729 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900696675v1_02367,900696675v1_02367 (uncultured Candidatus Kuenenia sp. AMX1.fa.gz)
900232105v1_03602,900232105v1_03602 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
900232175v1_03518,900232175v1_03518 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232175v1_06665,900232175v1_06665 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
007618145v1_00816,007618145v1_00816 (Candidatus Kuenenia stuttgartiensis BL10)
000987375v1_00375,000987375v1_00375 (Candidatus Brocadia fulgida RU1)
002050315v1_01436,002050315v1_01436 (Candidatus Brocadia sp. UTAMX2 UTAMX2)
002009475v1_01906,002009475v1_01906 (Candidatus Brocadia caroliniensis 26THWARD)
007618135v1_02307,007618135v1_02307 (Candidatus Brocadia sp. WS118 WS118)
007618135v1_04220,007618135v1_04220 (Candidatus Brocadia sp. WS118 WS118)
008933285v1_01419,008933285v1_01419 (Candidatus Brocadia sp. SB37)
000949635v1_00673,000949635v1_00673 (Candidatus Brocadia sinica JPN1 )
000949635v1_02662,000949635v1_02662 (Candidatus Brocadia sinica JPN1 )
000949635v1_00843,000949635v1_00843 (Candidatus Brocadia sinica JPN1 )
003577215v1_01346,003577215v1_01346 (Candidatus Brocadia sp. AMX1)
008363395v1_00566,008363395v1_00566 (Candidatus Brocadia sp. AMX2 AMX2)
001753675v2_01375,001753675v2_01375 (Candidatus Brocadia sapporoensis )
002848945v1_02836,002848945v1_02836 (Candidatus Brocadia sp. R4W10303 R4W10303)
007618155v1_00375,007618155v1_00375 (Candidatus Brocadia sp. BL1 BL1)
002050325v1_01586,002050325v1_01586 (Candidatus Brocadia sp. UTAMX1 UTAMX1)
007860005v1_02187,007860005v1_02187 (Candidatus Brocadiaceae bacterium B188 )
007860005v1_02675,007860005v1_02675 (Candidatus Brocadiaceae bacterium B188 )
004282735v1_00031,004282735v1_00031 (Candidatus Brocadia sp. BROELEC01 BROELEC01)
001824525v1_00794,001824525v1_00794 (Planctomycetes bacterium GWA2_50_13 )
001828605v1_00434,001828605v1_00434 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_50_35 )
001828385v1_01651,001828385v1_01651 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_50_42 )
001830275v1_00476,001830275v1_00476 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_51_37 )
001828565v1_00461,001828565v1_00461 (Planctomycetes bacterium RIFCSPLOWO2_02_FULL_50_16 )
001828565v1_01999,001828565v1_01999 (Planctomycetes bacterium RIFCSPLOWO2_02_FULL_50_16 )
003545295v1_00929,003545295v1_00929 (Planctomycetia bacterium UBA10217)
001723765v1_01056,001723765v1_01056 (Candidatus Scalindua rubra BSI-1)
001723765v1_05013,001723765v1_05013 (Candidatus Scalindua rubra BSI-1)
008636105v1_01247,008636105v1_01247 (Candidatus Scalindua sp. MohnsGC08_192)
008636105v1_02703,008636105v1_02703 (Candidatus Scalindua sp. MohnsGC08_192)
001828515v1_01174,001828515v1_01174 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_40_12 )
001828595v1_00630,001828595v1_00630 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_40_19 )
001828595v1_00557,001828595v1_00557 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_40_19 )
004282745v1_00683,004282745v1_00683 (Candidatus Scalindua sp. SCAELEC01 SCAELEC01)
008501815v1_02982,008501815v1_02982 (Candidatus Scalindua sp. amx)
004351875v1_00865,004351875v1_00865 (Candidatus Scalindua sp. AMX11 AMX11)
000786775v1_01057,000786775v1_01057 (Candidatus Scalindua brodae RU1)
000786775v1_03563,000786775v1_03563 (Candidatus Scalindua brodae RU1)
002632345v1_02038,002632345v1_02038 (Candidatus Scalindua rubra Ru_enrich_A1)
002632345v1_03609,002632345v1_03609 (Candidatus Scalindua rubra Ru_enrich_A1)
002443295v1_03760,002443295v1_03760 (Candidatus Scalindua japonica )
002443295v1_04122,002443295v1_04122 (Candidatus Scalindua japonica )
002277955v1_01989,002277955v1_01989 (Thermogutta terrifontis )
003696025v1_03831,003696025v1_03831 (Planctomycetes bacterium J068)
000019965v1_03040,000019965v1_03040 (Opitutus terrae PB90-1 )
001302675v1_01328,001302675v1_01328 (Planctomycetes bacterium DG_20 DG_20)
001303465v1_01535,001303465v1_01535 (Phycisphaerae bacterium SG8_4 SG8_4)
005223045v1_00237,005223045v1_00237 (Planctomycetes bacterium B3_Pla B3_Pla)
001824675v1_01714,001824675v1_01714 (Planctomycetes bacterium RBG_13_50_24 )
003247995v1_00903,003247995v1_00903 (Phycisphaerales bacterium SZUA-323)
001828345v1_02416,001828345v1_02416 (Planctomycetes bacterium RBG_19FT_COMBO_48_8 )
003533825v1_02534,003533825v1_02534 (Phycisphaerales bacterium UBA9295)
001828465v1_00401,001828465v1_00401 (Planctomycetes bacterium RBG_16_55_9 )
001828265v1_00855,001828265v1_00855 (Planctomycetes bacterium RBG_13_63_9 )
003152975v1_00875,003152975v1_00875 (Phycisphaerales bacterium fen_1350)
007860135v1_03745,007860135v1_03745 (Planctomycetes bacterium Poly41 )
003559955v1_06173,003559955v1_06173 (Planctomycetaceae bacterium CSSed10_163)
003563235v1_08833,003563235v1_08833 (Planctomycetaceae bacterium CSSed11_145)
003567525v1_04994,003567525v1_04994 (Planctomycetaceae bacterium T3Sed10_166R1)
007135525v1_03591,007135525v1_03591 (Planctomycetaceae bacterium CSSed165cm_207)
007124655v1_03621,007124655v1_03621 (Planctomycetaceae bacterium CSSed162cmB_590)
007121535v1_01885,007121535v1_01885 (Planctomycetaceae bacterium CSSed162cmA_153)
007129635v1_03421,007129635v1_03421 (Planctomycetaceae bacterium CSSed162cmB_149)
007695205v1_00233,007695205v1_00233 (Planctomycetaceae bacterium PLM2.Bin2)
003550845v1_01140,003550845v1_01140 (Planctomycetaceae bacterium B1Sed10_54)
003556405v1_01742,003556405v1_01742 (Planctomycetaceae bacterium CSSed10_67)
007122275v1_02770,007122275v1_02770 (Planctomycetaceae bacterium CSSed162cmA_83)
007135925v1_01378,007135925v1_01378 (Planctomycetaceae bacterium CSSed165cm_17)
003562015v1_01165,003562015v1_01165 (Planctomycetaceae bacterium CSSed11_61)
007133715v1_00784,007133715v1_00784 (Planctomycetaceae bacterium CSSed165cm_346)
007119795v1_00032,007119795v1_00032 (Planctomycetales bacterium CSSed162cmA_348R1)
007126245v1_02296,007126245v1_02296 (Planctomycetales bacterium CSSed162cmB_456R1)
007135285v1_00071,007135285v1_00071 (Planctomycetales bacterium CSSed165cm_225)
003576845v1_03990,003576845v1_03990 (Planctomycetes bacterium PLA5)
005773035v1_01954,005773035v1_01954 (Planctomycetia bacterium F1-120-MAGs034)
005800635v1_01565,005800635v1_01565 (Planctomycetia bacterium F1-60-MAGs055)
005789645v1_01739,005789645v1_01739 (Planctomycetia bacterium F1-20-MAGs052)
005805345v1_02935,005805345v1_02935 (Planctomycetia bacterium F1-80-MAGs102)
000296795v1_00436,000296795v1_00436 (Candidatus Jettenia caeni )
900696475v1_03325,900696475v1_03325 (uncultured Candidatus Brocadia sp. AMX3.fa.gz)
000296795v1_03650,000296795v1_03650 (Candidatus Jettenia caeni )
005524015v1_03303,005524015v1_03303 (Candidatus Jettenia ecosi J2)
001824485v1_00175,001824485v1_00175 (Planctomycetes bacterium GWA2_39_15 )
001825635v1_01265,001825635v1_01265 (Planctomycetes bacterium GWC2_39_26 )
001830315v1_00134,001830315v1_00134 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_39_13 )
001825655v1_01235,001825655v1_01235 (Planctomycetes bacterium GWF2_39_10 )
001828635v1_01306,001828635v1_01306 (Planctomycetes bacterium RIFOXYB12_FULL_42_10 )
001828635v1_02253,001828635v1_02253 (Planctomycetes bacterium RIFOXYB12_FULL_42_10 )
001828645v1_00555,001828645v1_00555 (Planctomycetes bacterium RIFOXYC2_FULL_41_27 )
001828665v1_02164,001828665v1_02164 (Planctomycetes bacterium RIFOXYD12_FULL_42_12 )
002009475v1_01907,002009475v1_01907 (Candidatus Brocadia caroliniensis 26THWARD)
008933285v1_01418,008933285v1_01418 (Candidatus Brocadia sp. SB37)
007618135v1_02306,007618135v1_02306 (Candidatus Brocadia sp. WS118 WS118)
000949635v1_00672,000949635v1_00672 (Candidatus Brocadia sinica JPN1 )
008363395v1_00993,008363395v1_00993 (Candidatus Brocadia sp. AMX2 AMX2)
003577215v1_03336,003577215v1_03336 (Candidatus Brocadia sp. AMX1)
000949635v1_02663,000949635v1_02663 (Candidatus Brocadia sinica JPN1 )
001567345v1_00148,001567345v1_00148 (Candidatus Brocadia sinica OLB1)
003577215v1_01347,003577215v1_01347 (Candidatus Brocadia sp. AMX1)
008363395v1_00565,008363395v1_00565 (Candidatus Brocadia sp. AMX2 AMX2)
001753675v2_01376,001753675v2_01376 (Candidatus Brocadia sapporoensis )
002848945v1_02835,002848945v1_02835 (Candidatus Brocadia sp. R4W10303 R4W10303)
007618155v1_00374,007618155v1_00374 (Candidatus Brocadia sp. BL1 BL1)
002050325v1_01587,002050325v1_01587 (Candidatus Brocadia sp. UTAMX1 UTAMX1)
007860005v1_02188,007860005v1_02188 (Candidatus Brocadiaceae bacterium B188 )
007860005v1_02674,007860005v1_02674 (Candidatus Brocadiaceae bacterium B188 )
004282735v1_00032,004282735v1_00032 (Candidatus Brocadia sp. BROELEC01 BROELEC01)
900696655v1_02471,900696655v1_02471 (uncultured Planctomycetales bacterium AMX2.fa.gz)
000315095v1_00925,000315095v1_00925 (Candidatus Kuenenia stuttgartiensis enrichment culture clone CH1 )
900232175v1_06666,900232175v1_06666 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
000315115v1_02791,000315115v1_02791 (Candidatus Kuenenia stuttgartiensis enrichment culture clone RU1 )
900232175v1_05438,900232175v1_05438 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232105v1_02713,900232105v1_02713 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
900696675v1_02366,900696675v1_02366 (uncultured Candidatus Kuenenia sp. AMX1.fa.gz)
900232175v1_07728,900232175v1_07728 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232175v1_01560,900232175v1_01560 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232105v1_03603,900232105v1_03603 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
900232175v1_03517,900232175v1_03517 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
007618145v1_00817,007618145v1_00817 (Candidatus Kuenenia stuttgartiensis BL10)
900232175v1_06667,900232175v1_06667 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232175v1_06668,900232175v1_06668 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
000786775v1_01606,000786775v1_01606 (Candidatus Scalindua brodae RU1)
002632345v1_03608,002632345v1_03608 (Candidatus Scalindua rubra Ru_enrich_A1)
002443295v1_04123,002443295v1_04123 (Candidatus Scalindua japonica )
001828515v1_02204,001828515v1_02204 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_40_12 )
001828595v1_00556,001828595v1_00556 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_40_19 )
001723765v1_01057,001723765v1_01057 (Candidatus Scalindua rubra BSI-1)
008636105v1_01248,008636105v1_01248 (Candidatus Scalindua sp. MohnsGC08_192)
004282745v1_00682,004282745v1_00682 (Candidatus Scalindua sp. SCAELEC01 SCAELEC01)
008501815v1_02983,008501815v1_02983 (Candidatus Scalindua sp. amx)
004351875v1_00864,004351875v1_00864 (Candidatus Scalindua sp. AMX11 AMX11)
001824525v1_00795,001824525v1_00795 (Planctomycetes bacterium GWA2_50_13 )
001830275v1_00475,001830275v1_00475 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_51_37 )
001828605v1_00435,001828605v1_00435 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_50_35 )
001828565v1_00460,001828565v1_00460 (Planctomycetes bacterium RIFCSPLOWO2_02_FULL_50_16 )
001828385v1_01650,001828385v1_01650 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_50_42 )
003545295v1_01182,003545295v1_01182 (Planctomycetia bacterium UBA10217)
001828415v1_00877,001828415v1_00877 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_52_58 )
003694415v1_00117,003694415v1_00117 (Planctomycetes bacterium J115)
000019965v1_03042,000019965v1_03042 (Opitutus terrae PB90-1 )
001303465v1_01537,001303465v1_01537 (Phycisphaerae bacterium SG8_4 SG8_4)
005223045v1_00239,005223045v1_00239 (Planctomycetes bacterium B3_Pla B3_Pla)
001828345v1_02419,001828345v1_02419 (Planctomycetes bacterium RBG_19FT_COMBO_48_8 )
003247995v1_00905,003247995v1_00905 (Phycisphaerales bacterium SZUA-323)
003533825v1_02536,003533825v1_02536 (Phycisphaerales bacterium UBA9295)
001828465v1_00396,001828465v1_00396 (Planctomycetes bacterium RBG_16_55_9 )
001828265v1_00858,001828265v1_00858 (Planctomycetes bacterium RBG_13_63_9 )
001828335v1_02104,001828335v1_02104 (Planctomycetes bacterium RBG_16_64_12 )
001828265v1_00857,001828265v1_00857 (Planctomycetes bacterium RBG_13_63_9 )
003152975v1_00877,003152975v1_00877 (Phycisphaerales bacterium fen_1350)
003556405v1_00900,003556405v1_00900 (Planctomycetaceae bacterium CSSed10_67)
007122275v1_02772,007122275v1_02772 (Planctomycetaceae bacterium CSSed162cmA_83)
007124535v1_01684,007124535v1_01684 (Planctomycetaceae bacterium CSSed162cmB_596R1)
007133715v1_02425,007133715v1_02425 (Planctomycetaceae bacterium CSSed165cm_346)
007119795v1_00030,007119795v1_00030 (Planctomycetales bacterium CSSed162cmA_348R1)
007126245v1_02294,007126245v1_02294 (Planctomycetales bacterium CSSed162cmB_456R1)
007135285v1_00767,007135285v1_00767 (Planctomycetales bacterium CSSed165cm_225)
007860135v1_03743,007860135v1_03743 (Planctomycetes bacterium Poly41 )
003563235v1_08831,003563235v1_08831 (Planctomycetaceae bacterium CSSed11_145)
007121535v1_01887,007121535v1_01887 (Planctomycetaceae bacterium CSSed162cmA_153)
003567525v1_04992,003567525v1_04992 (Planctomycetaceae bacterium T3Sed10_166R1)
002277955v1_01991,002277955v1_01991 (Thermogutta terrifontis )
008087625v1_05015,008087625v1_05015 (Aquisphaera giovannonii )
002402755v1_00439,002402755v1_00439 (Planctomycetes bacterium UBA4800 UBA4800)
003452155v1_02730,003452155v1_02730 (Planctomycetes bacterium UBA8898)
000296795v1_02540,000296795v1_02540 (Candidatus Jettenia caeni )
900696475v1_02724,900696475v1_02724 (uncultured Candidatus Brocadia sp. AMX3.fa.gz)
008363445v1_00738,008363445v1_00738 (Candidatus Jettenia sp. AMX1 AMX1)
005524015v1_00076,005524015v1_00076 (Candidatus Jettenia ecosi J2)
000949635v1_03513,000949635v1_03513 (Candidatus Brocadia sinica JPN1 )
003577215v1_02251,003577215v1_02251 (Candidatus Brocadia sp. AMX1)
001567345v1_02519,001567345v1_02519 (Candidatus Brocadia sinica OLB1)
008363395v1_00345,008363395v1_00345 (Candidatus Brocadia sp. AMX2 AMX2)
000987375v1_02982,000987375v1_02982 (Candidatus Brocadia fulgida RU1)
003577195v1_00203,003577195v1_00203 (Candidatus Brocadia sp. AMX2)
002050315v1_02185,002050315v1_02185 (Candidatus Brocadia sp. UTAMX2 UTAMX2)
001753675v2_00706,001753675v2_00706 (Candidatus Brocadia sapporoensis )
002050325v1_00961,002050325v1_00961 (Candidatus Brocadia sp. UTAMX1 UTAMX1)
004282735v1_00593,004282735v1_00593 (Candidatus Brocadia sp. BROELEC01 BROELEC01)
007860005v1_02613,007860005v1_02613 (Candidatus Brocadiaceae bacterium B188 )
002848945v1_00015,002848945v1_00015 (Candidatus Brocadia sp. R4W10303 R4W10303)
007618155v1_00896,007618155v1_00896 (Candidatus Brocadia sp. BL1 BL1)
002009475v1_02256,002009475v1_02256 (Candidatus Brocadia caroliniensis 26THWARD)
007618135v1_04161,007618135v1_04161 (Candidatus Brocadia sp. WS118 WS118)
001824485v1_02144,001824485v1_02144 (Planctomycetes bacterium GWA2_39_15 )
001830315v1_01558,001830315v1_01558 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_39_13 )
001825635v1_00012,001825635v1_00012 (Planctomycetes bacterium GWC2_39_26 )
001825655v1_00089,001825655v1_00089 (Planctomycetes bacterium GWF2_39_10 )
001825595v1_00336,001825595v1_00336 (Planctomycetes bacterium GWB2_41_19 )
001828645v1_00095,001828645v1_00095 (Planctomycetes bacterium RIFOXYC2_FULL_41_27 )
001828665v1_01462,001828665v1_01462 (Planctomycetes bacterium RIFOXYD12_FULL_42_12 )
001828685v1_01340,001828685v1_01340 (Planctomycetes bacterium RIFOXYD2_FULL_41_16 )
001828365v1_00624,001828365v1_00624 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_38_41 )
000315095v1_02057,000315095v1_02057 (Candidatus Kuenenia stuttgartiensis enrichment culture clone CH1 )
900696675v1_00757,900696675v1_00757 (uncultured Candidatus Kuenenia sp. AMX1.fa.gz)
002418245v1_01467,002418245v1_01467 (Candidatus Kuenenia stuttgartiensis UBA5795)
900232105v1_03422,900232105v1_03422 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
002632395v1_03099,002632395v1_03099 (Candidatus Kuenenia stuttgartiensis Ru_enrich_A3)
000315115v1_01849,000315115v1_01849 (Candidatus Kuenenia stuttgartiensis enrichment culture clone RU1 )
900232175v1_02142,900232175v1_02142 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
002402755v1_00268,002402755v1_00268 (Planctomycetes bacterium UBA4800 UBA4800)
003696625v1_01198,003696625v1_01198 (Planctomycetes bacterium J029)
008501825v1_04493,008501825v1_04493 (Planctomycetes bacterium PNC)
005772855v1_00681,005772855v1_00681 (Planctomycetia bacterium F1-120-MAGs048)
005809225v1_02417,005809225v1_02417 (Planctomycetia bacterium F1-80-MAGs044)
005801495v1_01934,005801495v1_01934 (Planctomycetia bacterium F1-60-MAGs016)
000315095v1_02647,000315095v1_02647 (Candidatus Kuenenia stuttgartiensis enrichment culture clone CH1 )
