LABELS
#use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#NODE_ID,LABEL

#Examples
#define a name for an internal node
#9031|9606,Metazoa

#change the label for leaf node 9606
#9606,Homo sapiens
GCA_003149495.1,Gemmata obscuriglobus 
GCA_903823545.1,uncultured Planctomycetaceae bacterium Erken-D6_bin-0022
GCA_903831155.1,uncultured Planctomycetaceae bacterium Loclat_bin-01959
GCA_903832705.1,uncultured Planctomycetaceae bacterium Erken-D8_bin-0493
GCA_903834175.1,uncultured Planctomycetaceae bacterium Erken-D5_bin-0583
GCA_903835315.1,uncultured Planctomycetaceae bacterium Umea_bin-09911
GCA_903842585.1,uncultured Planctomycetaceae bacterium KTt_bin-0468
GCA_903842815.1,uncultured Planctomycetaceae bacterium LaPlata_bin-1342
GCA_903842935.1,uncultured Planctomycetaceae bacterium LaPlata-a_bin-1226
GCA_903845985.1,uncultured Planctomycetaceae bacterium Umea1p4_bin-068
GCA_903847555.1,uncultured Planctomycetaceae bacterium LaPlata-b_bin-2484
GCA_903853045.1,uncultured Planctomycetaceae bacterium Erken-D4_bin-0398
GCA_903857035.1,uncultured Planctomycetaceae bacterium Erken-D4_bin-0329
GCA_903858815.1,uncultured Planctomycetaceae bacterium LaPlata_bin-4282
GCA_903861195.1,uncultured Planctomycetaceae bacterium ErkenSummer_bin-1745
GCA_903862635.1,uncultured Planctomycetaceae bacterium LaPlata-b_bin-0630
GCA_903863875.1,uncultured Planctomycetaceae bacterium LaPlata-15m-b_bin-414
GCA_903863885.1,uncultured Planctomycetaceae bacterium LaPlata-15m-b_bin-253
GCA_903866115.1,uncultured Planctomycetaceae bacterium LaPlata-1m-b_bin-546
GCA_903866415.1,uncultured Planctomycetaceae bacterium LaPlata-b_bin-1976
GCA_903867395.1,uncultured Planctomycetaceae bacterium LaPlata-5m-a_bin-401
GCA_903871695.1,uncultured Planctomycetaceae bacterium Loclat_bin-04562
GCA_903871805.1,uncultured Planctomycetaceae bacterium ErkenSummer_bin-6500
GCA_903872835.1,uncultured Planctomycetaceae bacterium LaPlata-1m-a_bin-314
GCA_903873495.1,uncultured Planctomycetaceae bacterium Loclat_bin-18416
GCA_903877395.1,uncultured Planctomycetaceae bacterium UppL7s_bin-0881
GCA_903878165.1,uncultured Planctomycetaceae bacterium Umea1_bin-0709
GCA_903881045.1,uncultured Planctomycetaceae bacterium LaPlata-1m-b_bin-589
GCA_903881225.1,uncultured Planctomycetaceae bacterium Loclat_bin-09656
GCA_903884215.1,uncultured Planctomycetaceae bacterium ErkenSummer_bin-2185
GCA_903885565.1,uncultured Planctomycetaceae bacterium Loclat_bin-17606
GCA_903885575.1,uncultured Planctomycetaceae bacterium LaPlata-b_bin-0690
GCA_903885855.1,uncultured Planctomycetaceae bacterium LaPlata_bin-3722
GCA_903886965.1,uncultured Planctomycetaceae bacterium Loclat_bin-03231
GCA_903890835.1,uncultured Planctomycetaceae bacterium LinL1_bin-0599
GCA_903893105.1,uncultured Planctomycetaceae bacterium LaPlata-5m-a_bin-660
GCA_903895205.1,uncultured Planctomycetaceae bacterium LaPlata-15m-a_bin-593
GCA_903895665.1,uncultured Planctomycetaceae bacterium LaPlata_bin-3356
GCA_903896675.1,uncultured Planctomycetaceae bacterium LaPlata-b_bin-0686
GCA_903897345.1,uncultured Planctomycetaceae bacterium Erken-D4_bin-0105
GCA_903898525.1,uncultured Planctomycetaceae bacterium Erken-D4_bin-0666
GCA_903898975.1,uncultured Planctomycetaceae bacterium LaPlata-a_bin-1986
GCA_903899385.1,uncultured Planctomycetaceae bacterium LaPlata-1m-a_bin-539
GCA_903904045.1,uncultured Planctomycetaceae bacterium LaPlata-7m-a_bin-595
GCA_903905955.1,uncultured Planctomycetaceae bacterium LaPlata-15m-a_bin-279
GCA_903907685.1,uncultured Planctomycetaceae bacterium LaPlata-5m-b_bin-412
GCA_903907715.1,uncultured Planctomycetaceae bacterium LaPlata-5m-b_bin-195
GCA_903912515.1,uncultured Planctomycetaceae bacterium ErkenSummer_bin-2955
GCA_903913475.1,uncultured Planctomycetaceae bacterium Erken-D8_bin-0662
GCA_903917235.1,uncultured Planctomycetaceae bacterium LaPlata_bin-2267
GCA_903917635.1,uncultured Planctomycetaceae bacterium LaPlata-b_bin-1717
GCA_903919035.1,uncultured Planctomycetaceae bacterium LaPlata-a_bin-0093
GCA_903920745.1,uncultured Planctomycetaceae bacterium Erken-D4_bin-1102
GCA_903921145.1,uncultured Planctomycetaceae bacterium Erken-D4_bin-0824
GCA_903921605.1,uncultured Planctomycetaceae bacterium ErkenSummer_bin-0099
GCA_903921945.1,uncultured Planctomycetaceae bacterium LaPlata-15m-b_bin-643
GCA_903922805.1,uncultured Planctomycetaceae bacterium LaPlata-a_bin-2391
GCA_903922865.1,uncultured Planctomycetaceae bacterium LaPlata-a_bin-2390
GCA_903924375.1,uncultured Planctomycetaceae bacterium Erken-D3_bin-0209
GCA_903924405.1,uncultured Planctomycetaceae bacterium Erken-D3_bin-0369
GCA_903925555.1,uncultured Planctomycetaceae bacterium LaPlata-7m-a_bin-050
GCA_903925735.1,uncultured Planctomycetaceae bacterium LaPlata_bin-3097
GCA_903927685.1,uncultured Planctomycetaceae bacterium LaPlata-15m-a_bin-389
GCA_903928155.1,uncultured Planctomycetaceae bacterium Umea_bin-00796
GCA_903929995.1,uncultured Planctomycetaceae bacterium Loclat_bin-02257
GCA_903932375.1,uncultured Planctomycetaceae bacterium LaPlata-a_bin-1314
GCA_903932765.1,uncultured Planctomycetaceae bacterium Loc080925-7m_bin-0383
GCA_903932945.1,uncultured Planctomycetaceae bacterium Loc090721-6m_bin-091
GCA_903933295.1,uncultured Planctomycetaceae bacterium Loc090116-9m_bin-0123
GCA_903933855.1,uncultured Planctomycetaceae bacterium Loc090116-8m_bin-1138
GCA_903934205.1,uncultured Planctomycetaceae bacterium Loc090116-4m_bin-1179
GCA_903934805.1,uncultured Planctomycetaceae bacterium Loc090721-8-6m_bin-0484
GCA_903935025.1,uncultured Planctomycetaceae bacterium Loc081215-9m_bin-0356
GCA_903935555.1,uncultured Planctomycetaceae bacterium Loc090519-8-7m_bin-0757
GCA_903937185.1,uncultured Planctomycetaceae bacterium Loc090402-8m_bin-1632
GCA_903937875.1,uncultured Planctomycetaceae bacterium Loc090116-7m_bin-0630
GCA_903937965.1,uncultured Planctomycetaceae bacterium Loc090519-8m_bin-1014
GCA_903938025.1,uncultured Planctomycetaceae bacterium Loc090907-8-6m_bin-258
GCA_903938605.1,uncultured Planctomycetaceae bacterium Loc090402-7m_bin-0258
GCA_903938885.1,uncultured Planctomycetaceae bacterium Loc090116-1m_bin-1452
GCA_903939225.1,uncultured Planctomycetaceae bacterium Loc080925-4-5m_bin-0611
GCA_903939855.1,uncultured Planctomycetaceae bacterium Loc090402-1m_bin-0203
GCA_903941175.1,uncultured Planctomycetaceae bacterium Loc081215-8m_bin-0024
GCA_903944635.1,uncultured Planctomycetaceae bacterium Loc080925-5m_bin-0893
GCA_903945395.1,uncultured Planctomycetaceae bacterium Loc080925-8-8m_bin-485
GCA_903948085.1,uncultured Planctomycetaceae bacterium Loc090907-6m_bin-278
GCA_903949225.1,uncultured Planctomycetaceae bacterium Loc080925-6m_bin-0950
GCA_903951545.1,uncultured Planctomycetaceae bacterium Loc090116-7m_bin-0706
GCA_903951635.1,uncultured Planctomycetaceae bacterium Loc090907-1m_bin-358
GCA_903952835.1,uncultured Planctomycetaceae bacterium Loc090402-4m_bin-0748
GCA_903952995.1,uncultured Planctomycetaceae bacterium Loc090116-4m_bin-0185
GCA_903953265.1,uncultured Planctomycetaceae bacterium Loc080925-8m_bin-614
GCA_903953605.1,uncultured Planctomycetaceae bacterium Loc090721-4m_bin-0288
GCA_903955345.1,uncultured Planctomycetaceae bacterium Loc081215-8m_bin-1310
GCA_903958075.1,uncultured Planctomycetaceae bacterium Loc090907-4m_bin-598
GCA_903958265.1,uncultured Planctomycetaceae bacterium Loc080925-8m_bin-400
GCA_903958445.1,uncultured Planctomycetaceae bacterium Loc090721-5m_bin-582
GCA_903959235.1,uncultured Planctomycetaceae bacterium Loc090519-7m_bin-0876
GCA_903959455.1,uncultured Planctomycetaceae bacterium Loc090116-7m_bin-1108
GCA_903959485.1,uncultured Planctomycetaceae bacterium Loc080925-5m_bin-0220
GCA_903959955.1,uncultured Planctomycetaceae bacterium Loc080925-4m_bin-0924
GCA_903960105.1,uncultured Planctomycetaceae bacterium Loc080925-7m_bin-0470
GCA_903960325.1,uncultured Planctomycetaceae bacterium Loc080925-8-8m_bin-120
GCA_903960945.1,uncultured Planctomycetaceae bacterium Loc090116-8m_bin-1509
GCA_903961075.1,uncultured Planctomycetaceae bacterium Loc090519-5m_bin-0850
GCA_903961185.1,uncultured Planctomycetaceae bacterium Loc090721-1m_bin-073
GCA_903961425.1,uncultured Planctomycetaceae bacterium Loc090721-7m_bin-613
GCA_903961655.1,uncultured Planctomycetaceae bacterium Loc090907-8m_bin-441
GCA_900696655.1,uncultured Planctomycetales bacterium AMX2.fa.gz
GCA_903820275.1,uncultured Planctomycetales bacterium Umea2p1_bin-1409
GCA_903823815.1,uncultured Planctomycetales bacterium Umea1p3_bin-079
GCA_903847635.1,uncultured Planctomycetales bacterium Ja_bin-4281
GCA_903853025.1,uncultured Planctomycetales bacterium LinL2_bin-0635
GCA_903863435.1,uncultured Planctomycetales bacterium Umea1p2_bin-1178
GCA_903864405.1,uncultured Planctomycetales bacterium Loclat_bin-07668
GCA_903868515.1,uncultured Planctomycetales bacterium Umea2_bin-0268
GCA_903872475.1,uncultured Planctomycetales bacterium Umea2p2_bin-0982
GCA_903900675.1,uncultured Planctomycetales bacterium Umea1_bin-1884
GCA_903900895.1,uncultured Planctomycetales bacterium VK_bin-0243
GCA_903910135.1,uncultured Planctomycetales bacterium Ja1-D2_bin-0630
GCA_903917115.1,uncultured Planctomycetales bacterium Ja1_bin-4026
GCA_903917725.1,uncultured Planctomycetales bacterium Umea_bin-04192
GCA_903926465.1,uncultured Planctomycetales bacterium Umea_bin-02666
GCA_903950225.1,uncultured Planctomycetales bacterium Loc090402-4m_bin-0672
GCA_000332035.1,Gloeocapsa sp. PCC 73106 
GCA_000317575.1,Stanieria cyanosphaera PCC 7437 
GCA_900317365.1,uncultured planctomycete RUG284
GCA_900318195.1,uncultured planctomycete RUG369
GCA_900321495.1,uncultured planctomycete RUG695
GCA_900696425.1,uncultured planctomycete PLA4.fa.gz
GCA_900696465.1,uncultured planctomycete PLA6.fa.gz
GCA_900696525.1,uncultured planctomycete PLA1.fa.gz
GCA_900696535.1,uncultured planctomycete PLA2.fa.gz
GCA_900696545.1,uncultured planctomycete PLA3.fa.gz
GCA_900696685.1,uncultured planctomycete PLA5.fa.gz
GCA_902760095.1,uncultured planctomycete RUG10526
GCA_902760255.1,uncultured planctomycete RUG10546
GCA_902766935.1,uncultured planctomycete RUG11210
GCA_902769145.1,uncultured planctomycete RUG11427
GCA_902770245.1,uncultured planctomycete RUG11551
GCA_902772705.1,uncultured planctomycete RUG11796
GCA_902786505.1,uncultured planctomycete RUG13182
GCA_902796885.1,uncultured planctomycete RUG14216
GCA_902797455.1,uncultured planctomycete RUG14274
GCA_902798735.1,uncultured planctomycete RUG14394
GCA_902801085.1,uncultured planctomycete RUG14630
GCA_902803085.1,uncultured planctomycete RUG14836
GCA_903821845.1,uncultured planctomycete D14_bin-0572
GCA_903822135.1,uncultured planctomycete AM-2014_bin-2246
GCA_903824655.1,uncultured planctomycete Loclat_bin-01513
GCA_903829565.1,uncultured planctomycete Erken-D8_bin-0018
GCA_903830195.1,uncultured planctomycete Erken-D2_bin-1139
GCA_903832235.1,uncultured planctomycete LJ_bin-2904
GCA_903834335.1,uncultured planctomycete UppL5_bin-1563
GCA_903836415.1,uncultured planctomycete LaPlata-1m-a_bin-039
GCA_903837995.1,uncultured planctomycete AlinenSedimentsD0_bin-0375
GCA_903841905.1,uncultured planctomycete Erken-D5_bin-0732
GCA_903846715.1,uncultured planctomycete LJ-3-65m_bin-1131
GCA_903847315.1,uncultured planctomycete A14_bin-1425
GCA_903849465.1,uncultured planctomycete LaPlata-5m-a_bin-386
GCA_903849655.1,uncultured planctomycete Erken-D6_bin-0304
GCA_903857175.1,uncultured planctomycete LaPlata-5m-b_bin-575
GCA_903857405.1,uncultured planctomycete Erken-D1_bin-1992
GCA_903859615.1,uncultured planctomycete AM5_bin-0764
GCA_903860695.1,uncultured planctomycete Erken-D5_bin-0450
GCA_903862125.1,uncultured planctomycete LaPlata-5m-b_bin-618
GCA_903863415.1,uncultured planctomycete Erken-D11_bin-0767
GCA_903866695.1,uncultured planctomycete Umea_bin-06915
GCA_903867435.1,uncultured planctomycete LaPlata-5m-a_bin-501
GCA_903869405.1,uncultured planctomycete Erken-D7_bin-0216
GCA_903870125.1,uncultured planctomycete ErkenSummer_bin-2077
GCA_903873935.1,uncultured planctomycete LJ_bin-0536
GCA_903876435.1,uncultured planctomycete LJ-13-9m_bin-646
GCA_903876835.1,uncultured planctomycete ErkenSummer_bin-2330
GCA_903878135.1,uncultured planctomycete F14_bin-0604
GCA_903878945.1,uncultured planctomycete LaPlata-1m-a_bin-410
GCA_903881435.1,uncultured planctomycete AM_bin-4391
GCA_903882055.1,uncultured planctomycete Ja1-D2_bin-0599
GCA_903882295.1,uncultured planctomycete Erken-D4_bin-0256
GCA_903884275.1,uncultured planctomycete AlinenLipids_bin-0001
GCA_903885175.1,uncultured planctomycete Erken-D3_bin-0890
GCA_903886535.1,uncultured planctomycete Erken-D2_bin-0657
GCA_903886725.1,uncultured planctomycete Erken-D3_bin-0606
GCA_903888325.1,uncultured planctomycete Erken-D10_bin-0741
GCA_903889175.1,uncultured planctomycete Erken-D2_bin-0631
GCA_903891975.1,uncultured planctomycete Erken-D7_bin-0444
GCA_903892045.1,uncultured planctomycete Erken-D4_bin-1070
GCA_903892055.1,uncultured planctomycete Erken-D4_bin-1121
GCA_903892515.1,uncultured planctomycete AlinenLipids_bin-9348
GCA_903896395.1,uncultured planctomycete A3_bin-194
GCA_903898365.1,uncultured planctomycete Erken-D2_bin-0045
GCA_903901045.1,uncultured planctomycete AM-2014_bin-0320
GCA_903901355.1,uncultured planctomycete AM-lipid-02-D10_bin-1063
GCA_903902195.1,uncultured planctomycete Erken-D9_bin-0304
GCA_903902515.1,uncultured planctomycete Erken-D3_bin-1092
GCA_903903605.1,uncultured planctomycete LaPlata-1m-b_bin-316
GCA_903906105.1,uncultured planctomycete LaPlata-5m-b_bin-756
GCA_903908625.1,uncultured planctomycete Loclat_bin-05281
GCA_903909525.1,uncultured planctomycete LaPlata-a_bin-1679
GCA_903910055.1,uncultured planctomycete Erken-D11_bin-1597
GCA_903911395.1,uncultured planctomycete Erken-D8_bin-0969
GCA_903914155.1,uncultured planctomycete AM-lipid-02-D9_bin-0544
GCA_903916245.1,uncultured planctomycete LaPlata_bin-2350
GCA_903916395.1,uncultured planctomycete Erken-D2_bin-1431
GCA_903919355.1,uncultured planctomycete Erken-D4_bin-0194
GCA_903922345.1,uncultured planctomycete Erken-D7_bin-0886
GCA_903922425.1,uncultured planctomycete Umea1_bin-3541
GCA_903923125.1,uncultured planctomycete Ja1_bin-1605
GCA_903924885.1,uncultured planctomycete AM-2014-D6_bin-645
GCA_903925435.1,uncultured planctomycete Erken-D3_bin-1231
GCA_903927735.1,uncultured planctomycete LaPlata_bin-3428
GCA_903927855.1,uncultured planctomycete AlinenSedimentsCore2_bin-1585
GCA_903928025.1,uncultured planctomycete Erken-D10_bin-0720
GCA_903928115.1,uncultured planctomycete LaPlata-b_bin-0967
GCA_903933175.1,uncultured planctomycete Loc080925-8m_bin-593
GCA_903933515.1,uncultured planctomycete Loc090907-8-6m_bin-183
GCA_903934165.1,uncultured planctomycete Loc081215-4m_bin-2168
GCA_903935015.1,uncultured planctomycete Loc081215-9m_bin-0473
GCA_903935215.1,uncultured planctomycete Loc090721-6m_bin-275
GCA_903939885.1,uncultured planctomycete Loc090519-8m_bin-0768
GCA_903940755.1,uncultured planctomycete Loc081215-5m_bin-0323
GCA_903948005.1,uncultured planctomycete Loc090907-6m_bin-251
GCA_903949365.1,uncultured planctomycete Loc090402-1m_bin-0972
GCA_903952065.1,uncultured planctomycete Loc080925-8-8m_bin-014
GCA_903956535.1,uncultured planctomycete Loc090402-8-9m_bin-0960
GCA_903958495.1,uncultured planctomycete Loc081215-1m_bin-0457
GCA_903959065.1,uncultured planctomycete Loc090907-8-6m_bin-928
GCA_903959405.1,uncultured planctomycete Loc080925-4-5m_bin-0276
GCA_903959555.1,uncultured planctomycete Loc080925-4m_bin-0712
GCA_903960525.1,uncultured planctomycete Loc080925-8-8m_bin-308
GCA_905477565.1,uncultured planctomycete 0.2_20180319_Bin_0_sub_1
GCA_000346485.2,Scytonema hofmannii PCC 7110 
GCA_001890765.1,Spirulina major PCC 6313 
GCA_002418245.1,Candidatus Kuenenia stuttgartiensis UBA5795
GCA_002632395.1,Candidatus Kuenenia stuttgartiensis Ru_enrich_A3
GCA_007618145.1,Candidatus Kuenenia stuttgartiensis BL10
GCA_011066545.1,Candidatus Kuenenia stuttgartiensis 
GCA_014584675.1,Candidatus Kuenenia stuttgartiensis BJ3
GCA_900232105.1,Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen
GCA_900232175.1,Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen
GCA_000332275.1,Synechococcus sp. PCC 7336 
GCA_000171775.1,Gemmata obscuriglobus UQM 2246 
GCA_901538385.1,Gemmata obscuriglobus UQM 2246 UQM 2246
GCA_000786775.1,Candidatus Scalindua brodae RU1
GCA_000172155.1,Verrucomicrobium spinosum DSM 4136 = JCM 18804 
GCA_000196115.1,Rhodopirellula baltica SH 1 
GCA_000296795.1,Candidatus Jettenia caeni 
GCA_013360885.1,Candidatus Jettenia caeni MAG_9
GCA_016861385.1,Candidatus Jettenia caeni BroJett041
GCA_000011385.1,Gloeobacter violaceus PCC 7421 
GCA_002901265.1,Rhodopirellula baltica 
GCA_003501305.1,Rhodopirellula baltica UBA8833
GCA_903820355.1,uncultured Pirellula sp. Erken-D2_bin-0412
GCA_903820735.1,uncultured Pirellula sp. Erken-D3_bin-1300
GCA_903837255.1,uncultured Pirellula sp. Umea1_bin-2197
GCA_903857465.1,uncultured Pirellula sp. Erken-D1_bin-0619
GCA_903858115.1,uncultured Pirellula sp. ErkenSummer_bin-0307
GCA_903862095.1,uncultured Pirellula sp. Erken-D4_bin-0074
GCA_903869395.1,uncultured Pirellula sp. Erken-D7_bin-0040
GCA_903886565.1,uncultured Pirellula sp. Erken-D2_bin-0605
GCA_903890285.1,uncultured Pirellula sp. Erken-D8_bin-0140
GCA_903892355.1,uncultured Pirellula sp. Loclat_bin-07289
GCA_903892365.1,uncultured Pirellula sp. Loclat_bin-07264
GCA_903902825.1,uncultured Pirellula sp. ErkenSummer_bin-4459
GCA_903912055.1,uncultured Pirellula sp. Erken-D9_bin-0831
GCA_903915205.1,uncultured Pirellula sp. Umea_bin-03336
GCA_903920425.1,uncultured Pirellula sp. Loclat_bin-05000
GCA_903920755.1,uncultured Pirellula sp. Erken-D4_bin-0729
GCA_903930765.1,uncultured Pirellula sp. ErkenSummer_bin-4334
GCA_903939995.1,uncultured Pirellula sp. Loc090721-5m_bin-235
GCA_903961345.1,uncultured Pirellula sp. Loc090721-4m_bin-0609
GCA_000153105.1,Blastopirellula marina DSM 3645 
GCA_000013225.1,Synechococcus sp. JA-2-3B'a(2-13) 
GCA_000181475.1,Gimesia maris DSM 8797 
GCA_000020225.1,Akkermansia muciniphila ATCC BAA-835 
GCA_011046995.1,Schlesneria paludicola SpSt-339
GCA_011368275.1,Schlesneria paludicola SpSt-508
GCA_000987375.1,Candidatus Brocadia fulgida RU1
GCA_001753675.2,Candidatus Brocadia sapporoensis 
GCA_900696475.1,uncultured Candidatus Brocadia sp. AMX3.fa.gz
GCA_001642955.1,Rubripirellula obstinata 
GCA_008374075.1,Rubripirellula obstinata 
GCA_008087625.1,Aquisphaera giovannonii 
GCA_903884745.1,uncultured Planctomycetia bacterium AM-lipid-02-D8_bin-401
GCA_903898145.1,uncultured Planctomycetia bacterium AM-lipid-02-D9_bin-0805
GCA_903929765.1,uncultured Planctomycetia bacterium AlinenLipids_bin-6114
GCA_000019965.1,Opitutus terrae PB90-1 
GCA_001904725.1,Phormidium ambiguum IAM M-71 
GCA_000019665.1,Methylacidiphilum infernorum V4 
GCA_000092105.1,Planctopirus limnophila DSM 3776 
GCA_000025185.1,Pirellula staleyi DSM 6068 
GCA_005240095.1,Phycisphaera mikurensis Bin_18_1
GCA_014207395.1,Phycisphaera mikurensis 
GCA_000186345.1,Isosphaera pallida ATCC 43644 
GCA_000473895.1,Rubidibacter lacunae KORDI 51-2 
GCA_001027925.1,Rhodopirellula islandica 
GCA_002289565.1,Rhodopirellula sp. SM50 
GCA_000346425.1,Rhodopirellula sp. SWK7 
GCA_902585535.1,uncultured Rhodopirellula sp. AG-435-D19
GCA_001613545.1,Terrimicrobium sacchariphilum 
GCA_901538355.1,Tuwongella immobilis MBLW1
GCA_000165715.3,Rubinisphaera brasiliensis DSM 5305 
GCA_003149345.1,Vampirovibrio chlorellavorus Vc_AZ_2
GCA_001567345.1,Candidatus Brocadia sinica OLB1
GCA_013360995.1,Candidatus Brocadia sinica MAG_7
GCA_016860665.1,Candidatus Brocadia sinica BroJett002
GCA_003015105.1,Chroococcidiopsis sp. CCALA 051 
GCA_000242455.3,Singulisphaera acidiphila DSM 18658 
GCA_000255675.1,Singulisphaera acidiphila DSM 18658 
GCA_903820405.1,uncultured Phycisphaerales bacterium AM-lipid-01-D9_bin-0634
GCA_903822675.1,uncultured Phycisphaerales bacterium AM-lipid-02-D7_bin-072
GCA_903827445.1,uncultured Phycisphaerales bacterium AM-sed-core2-D1_bin-209
GCA_903835115.1,uncultured Phycisphaerales bacterium LaPlata_bin-2170
GCA_903835475.1,uncultured Phycisphaerales bacterium AlinenSedimentsD0_bin-1261
GCA_903836555.1,uncultured Phycisphaerales bacterium A4_bin-403
GCA_903839015.1,uncultured Phycisphaerales bacterium AM-lipid-01-D8_bin-1392
GCA_903840515.1,uncultured Phycisphaerales bacterium AM5_bin-1454
GCA_903845195.1,uncultured Phycisphaerales bacterium AM-2014_bin-1447
GCA_903846345.1,uncultured Phycisphaerales bacterium AM4_bin-024
GCA_903851005.1,uncultured Phycisphaerales bacterium AlinenSedimentsD1_bin-1894
GCA_903857265.1,uncultured Phycisphaerales bacterium A3_bin-117
GCA_903858805.1,uncultured Phycisphaerales bacterium AM-2014_bin-2466
GCA_903861675.1,uncultured Phycisphaerales bacterium AM-2014-D6_bin-700
GCA_903864155.1,uncultured Phycisphaerales bacterium LaPlata-5m-b_bin-472
GCA_903868035.1,uncultured Phycisphaerales bacterium MJ-time_bin-3953
GCA_903868625.1,uncultured Phycisphaerales bacterium AlinenSediments_bin-4441
GCA_903871935.1,uncultured Phycisphaerales bacterium AM_bin-0306
GCA_903872595.1,uncultured Phycisphaerales bacterium AM-lipid-01-D10_bin-0163
GCA_903877795.1,uncultured Phycisphaerales bacterium LaPlata-5m-a_bin-572
GCA_903881995.1,uncultured Phycisphaerales bacterium AM-2014-D6_bin-092
GCA_903883415.1,uncultured Phycisphaerales bacterium AM-lipid-02-D10_bin-0438
GCA_903883975.1,uncultured Phycisphaerales bacterium AM-2014-D8_bin-1111
GCA_903888745.1,uncultured Phycisphaerales bacterium AlinenSediments_bin-0813
GCA_903889615.1,uncultured Phycisphaerales bacterium AM-2014-D8_bin-1213
GCA_903896765.1,uncultured Phycisphaerales bacterium AlinenLipids_bin-5977
GCA_903897975.1,uncultured Phycisphaerales bacterium AlinenSedimentsD2_bin-1572
GCA_903899895.1,uncultured Phycisphaerales bacterium D14_bin-0344
GCA_903905665.1,uncultured Phycisphaerales bacterium AlinenSediments_bin-0346
GCA_903913295.1,uncultured Phycisphaerales bacterium AlinenSediments_bin-0082
GCA_903914415.1,uncultured Phycisphaerales bacterium AlinenSedimentsCore3_bin-0378
GCA_903918775.1,uncultured Phycisphaerales bacterium AM-2014-D7_bin-300
GCA_903920125.1,uncultured Phycisphaerales bacterium AM-lipid-01-D7_bin-0301
GCA_903920895.1,uncultured Phycisphaerales bacterium AlinenSedimentsD1_bin-0109
GCA_903922045.1,uncultured Phycisphaerales bacterium AlinenSedimentsCore3_bin-1698
GCA_903923075.1,uncultured Phycisphaerales bacterium AM-sed-core3-D0_bin-439
