	K20934	K20933	K20932	K20935	K10535	K00371	K00370	K00368	K15864	K03385	K15876	K03320	K02598	K00362	K00363	K00372	K02575	K02189	K02188	K02006	K02007	K02008	K03386	K00428	K05919	K22405	K00958	K00394	K00395	K21816	K02497	K03594	K03711	K02635	K02636	K22225	K22226	K22227	K05565	K05566	K05567	K05568	K05569	K05571	K05299	K15022	K00330	K00331	K00332	K00333	K00337	K00338	K00339	K00340	K00341	K00342	K00343	K05575	K05577	K05579	K05580	K05583	K00346	K00347	K00348	K00349	K00350	K00351	K03612	K03613	K03614	K03615	K03616	K03617	K02108	K02109	K02110	K02111	K02112	K02113	K02114	K02115
GCA_000346425.1										000346425v1_01959	000346425v1_01958	000346425v1_05023,000346425v1_05221		000346425v1_03922		000346425v1_01644								000346425v1_01042								000346425v1_05941,000346425v1_03807	000346425v1_06317					000346425v1_01000,000346425v1_01039		000346425v1_04239	000346425v1_04238	000346425v1_04237,000346425v1_04236,000346425v1_04234	000346425v1_04243	000346425v1_04241		000346425v1_05367									000346425v1_06501	000346425v1_06502			000346425v1_02243				000346425v1_05120	000346425v1_05121	000346425v1_05122	000346425v1_05123	000346425v1_05124	000346425v1_05125							000346425v1_00613,000346425v1_01327	000346425v1_04405,000346425v1_00615	000346425v1_00614	000346425v1_04407,000346425v1_00616	000346425v1_04409,000346425v1_00609	000346425v1_04406	000346425v1_04410	000346425v1_04408,000346425v1_00617
GCA_014192335.1										014192335v1_00049	014192335v1_00050	014192335v1_04497,014192335v1_03551		014192335v1_03754		014192335v1_01706								014192335v1_06035								014192335v1_02197,014192335v1_03845	014192335v1_04235					014192335v1_05510,014192335v1_06033		014192335v1_02670	014192335v1_02671	014192335v1_02672,014192335v1_02673,014192335v1_02675	014192335v1_02666	014192335v1_02668											014192335v1_05865	014192335v1_05864			014192335v1_05785				014192335v1_03655	014192335v1_03654	014192335v1_03653	014192335v1_03652	014192335v1_03651	014192335v1_03650							014192335v1_00428	014192335v1_00287		014192335v1_00285	014192335v1_00283	014192335v1_00286	014192335v1_00282	014192335v1_00284
GCA_007860105.1										007860105v1_01637	007860105v1_01636	007860105v1_02744,007860105v1_03922				007860105v1_00065								007860105v1_02560,007860105v1_03291								007860105v1_02087,007860105v1_02288	007860105v1_00255,007860105v1_02709					007860105v1_01067		007860105v1_03654	007860105v1_03653	007860105v1_03651,007860105v1_03652,007860105v1_03649	007860105v1_03658	007860105v1_03656																			007860105v1_03379	007860105v1_03380	007860105v1_03381	007860105v1_03382	007860105v1_03383	007860105v1_03384							007860105v1_01952	007860105v1_01785	007860105v1_01786	007860105v1_01783	007860105v1_01781	007860105v1_01784	007860105v1_01780	007860105v1_01782
GCA_003563555.1										003563555v1_03625	003563555v1_03626	003563555v1_01598,003563555v1_01738												003563555v1_03219								003563555v1_00808,003563555v1_02084	003563555v1_02380,003563555v1_01579,003563555v1_02275					003563555v1_03862																					003563555v1_02039				003563555v1_01133	003563555v1_02598	003563555v1_02599	003563555v1_02600	003563555v1_02601	003563555v1_03410	003563555v1_01787		003563555v1_01788	003563555v1_01789			003563555v1_02677	003563555v1_02679	003563555v1_02678	003563555v1_01403	003563555v1_01401		003563555v1_01400	003563555v1_01402
GCA_002422955.1												002422955v1_02393												002422955v1_01393								002422955v1_02181,002422955v1_01281	002422955v1_01369,002422955v1_03300																						002422955v1_00288	002422955v1_00289			002422955v1_03807				002422955v1_02432	002422955v1_02430	002422955v1_02429	002422955v1_02428,002422955v1_02427	002422955v1_02426	002422955v1_02424	002422955v1_00848	002422955v1_00849		002422955v1_02741	002422955v1_02739	002422955v1_00850	002422955v1_00121	002422955v1_00119	002422955v1_00120	002422955v1_00117,002422955v1_00116	002422955v1_03413	002422955v1_00118	002422955v1_03412	
GCA_002428205.1											002428205v1_02296	002428205v1_00823,002428205v1_00854											002428205v1_00120	002428205v1_02695,002428205v1_02035								002428205v1_01339,002428205v1_00241	002428205v1_00777,002428205v1_00413					002428205v1_02916																									002428205v1_01729	002428205v1_01728	002428205v1_01727	002428205v1_01726	002428205v1_01725	002428205v1_01724				002428205v1_00590	002428205v1_02118		002428205v1_04048	002428205v1_04046,002428205v1_02226	002428205v1_04047	002428205v1_04044,002428205v1_04043	002428205v1_04040	002428205v1_04045	002428205v1_04039	002428205v1_02225,002428205v1_04041
GCA_008065135.1										008065135v1_05662	008065135v1_05663	008065135v1_01481,008065135v1_01101				008065135v1_05057					008065135v1_01523			008065135v1_00794								008065135v1_00041,008065135v1_02712	008065135v1_04897,008065135v1_02881					008065135v1_01416	008065135v1_00856	008065135v1_00857	008065135v1_00858	008065135v1_00860,008065135v1_00859,008065135v1_00862	008065135v1_00853	008065135v1_00855											008065135v1_05618	008065135v1_05619							008065135v1_03228	008065135v1_03229	008065135v1_03230	008065135v1_03231	008065135v1_03232	008065135v1_03233	008065135v1_01115						008065135v1_02245	008065135v1_02247	008065135v1_02246	008065135v1_02249	008065135v1_02252	008065135v1_02248	008065135v1_02253	008065135v1_02251
GCA_903857465.1												903857465v1_02890												903857465v1_02688,903857465v1_01345,903857465v1_01339									903857465v1_01850					903857465v1_03886									903857465v1_01548	903857465v1_01549	903857465v1_01550	903857465v1_01551		903857465v1_02039	903857465v1_02040	903857465v1_02041	903857465v1_02042	903857465v1_00246	903857465v1_02888																		903857465v1_00228	903857465v1_00226			903857465v1_03942	903857465v1_00225	903857465v1_03941	903857465v1_01358
GCA_903886565.1												903886565v1_01545												903886565v1_00538,903886565v1_03792,903886565v1_02072									903886565v1_00543,903886565v1_02215					903886565v1_01607,903886565v1_01049									903886565v1_04319	903886565v1_04320	903886565v1_04321	903886565v1_04322	903886565v1_04831	903886565v1_04830	903886565v1_04829	903886565v1_04828	903886565v1_04827,903886565v1_04676	903886565v1_04826,903886565v1_04677	903886565v1_04825																		903886565v1_00390	903886565v1_00388		903886565v1_00386	903886565v1_00384	903886565v1_00387	903886565v1_00383	903886565v1_00385
GCA_903902825.1												903902825v1_02703												903902825v1_02484,903902825v1_01482									903902825v1_02266					903902825v1_03397,903902825v1_00161									903902825v1_02858	903902825v1_02857	903902825v1_02856	903902825v1_02855	903902825v1_04283	903902825v1_04282	903902825v1_04281	903902825v1_04280	903902825v1_04279	903902825v1_04278,903902825v1_02175	903902825v1_04277																		903902825v1_03891	903902825v1_03889		903902825v1_03887	903902825v1_01697	903902825v1_03888	903902825v1_01696	903902825v1_01698
GCA_903820735.1												903820735v1_00346												903820735v1_00991,903820735v1_03946,903820735v1_01170									903820735v1_00996,903820735v1_00609					903820735v1_02118,903820735v1_01331,903820735v1_03363									903820735v1_02018	903820735v1_02019	903820735v1_02020	903820735v1_02021	903820735v1_02025	903820735v1_02026	903820735v1_02027	903820735v1_02028	903820735v1_02029,903820735v1_02610	903820735v1_02030,903820735v1_02609	903820735v1_00743																		903820735v1_02426	903820735v1_02424		903820735v1_02422	903820735v1_02420	903820735v1_02423	903820735v1_02419	903820735v1_02421
GCA_903890285.1																								903890285v1_01096,903890285v1_00665									903890285v1_02169					903890285v1_02041,903890285v1_02395,903890285v1_02100									903890285v1_02388	903890285v1_02387	903890285v1_02386		903890285v1_02117	903890285v1_02118	903890285v1_01982	903890285v1_01981	903890285v1_01980	903890285v1_02258,903890285v1_01193	903890285v1_01192																		903890285v1_02560	903890285v1_02563			903890285v1_01876	903890285v1_02564		903890285v1_01877
GCA_903820355.1																							903820355v1_01000										903820355v1_00405,903820355v1_02587														903820355v1_01809	903820355v1_01810	903820355v1_01811	903820355v1_01812	903820355v1_00720	903820355v1_00721		903820355v1_00035	903820355v1_00801	903820355v1_02052	903820355v1_01458																			903820355v1_00593			903820355v1_03519		903820355v1_03518	
GCA_016872635.1												016872635v1_01158																					016872635v1_01615,016872635v1_00038,016872635v1_01171					016872635v1_00734									016872635v1_00389	016872635v1_00388	016872635v1_00387	016872635v1_00386	016872635v1_00382	016872635v1_00381	016872635v1_00380		016872635v1_01802,016872635v1_02068,016872635v1_02067	016872635v1_01803,016872635v1_02065	016872635v1_01804																		016872635v1_02030	016872635v1_02028		016872635v1_02026	016872635v1_03219	016872635v1_02027	016872635v1_03218	016872635v1_02025
GCA_903920425.1												903920425v1_04996,903920425v1_01148												903920425v1_05632,903920425v1_02977									903920425v1_04714					903920425v1_04244,903920425v1_01567									903920425v1_05469	903920425v1_05468	903920425v1_05467	903920425v1_05466	903920425v1_05462	903920425v1_05461		903920425v1_05414	903920425v1_05413	903920425v1_05412	903920425v1_05411		903920425v1_02237																903920425v1_03463	903920425v1_03461		903920425v1_03459	903920425v1_03457	903920425v1_03460	903920425v1_03456	903920425v1_03458
GCA_903892365.1												903892365v1_02898												903892365v1_00814									903892365v1_02462,903892365v1_01249					903892365v1_02160									903892365v1_00246	903892365v1_00247	903892365v1_00248	903892365v1_00249	903892365v1_00253	903892365v1_00254	903892365v1_00255		903892365v1_01237,903892365v1_00128	903892365v1_02765,903892365v1_00129																						903892365v1_02966	903892365v1_02968		903892365v1_02969	903892365v1_02967
GCA_016792705.1												016792705v1_06144												016792705v1_01273,016792705v1_00659,016792705v1_01515								016792705v1_02885,016792705v1_02882	016792705v1_04931,016792705v1_00471					016792705v1_01217,016792705v1_03984,016792705v1_00880									016792705v1_01438	016792705v1_01439	016792705v1_01440	016792705v1_01441	016792705v1_01445	016792705v1_01446	016792705v1_01447	016792705v1_01448	016792705v1_01449,016792705v1_02953	016792705v1_01450,016792705v1_02952	016792705v1_05320						016792705v1_04022	016792705v1_04021	016792705v1_04020	016792705v1_04019	016792705v1_04018	016792705v1_04017							016792705v1_04466	016792705v1_04468		016792705v1_04470	016792705v1_04472	016792705v1_04469	016792705v1_04473	016792705v1_04471
GCA_017303505.1												017303505v1_04828,017303505v1_01990												017303505v1_05696,017303505v1_01394,017303505v1_02663								017303505v1_04545	017303505v1_02762,017303505v1_05391					017303505v1_04670,017303505v1_06077									017303505v1_05248	017303505v1_05247	017303505v1_05246	017303505v1_05245	017303505v1_05241	017303505v1_05240	017303505v1_05239	017303505v1_05238	017303505v1_05237,017303505v1_04193	017303505v1_05236,017303505v1_04192	017303505v1_05235		017303505v1_00439				017303505v1_05752	017303505v1_05753	017303505v1_05754	017303505v1_05755	017303505v1_05756	017303505v1_05757							017303505v1_04721	017303505v1_04719		017303505v1_04717	017303505v1_04715	017303505v1_04718	017303505v1_04714	017303505v1_04716
GCA_002862265.1												002862265v1_01124,002862265v1_00377,002862265v1_02244,002862265v1_02242												002862265v1_00474,002862265v1_03529								002862265v1_00175	002862265v1_00336					002862265v1_00239																									002862265v1_02280	002862265v1_02281	002862265v1_02282	002862265v1_02283	002862265v1_02284	002862265v1_02285							002862265v1_02480	002862265v1_02478	002862265v1_02479			002862265v1_01517,002862265v1_02477	002862265v1_01522	002862265v1_01519
GCA_005798335.1												005798335v1_01821,005798335v1_04547												005798335v1_02776,005798335v1_05029,005798335v1_02286							005798335v1_00577	005798335v1_01148	005798335v1_01939,005798335v1_04710					005798335v1_02787									005798335v1_04975	005798335v1_04974	005798335v1_04973	005798335v1_04972	005798335v1_04967,005798335v1_04968	005798335v1_04966	005798335v1_04965	005798335v1_04964	005798335v1_04963,005798335v1_02370	005798335v1_04962,005798335v1_02371	005798335v1_04961						005798335v1_04045	005798335v1_04046	005798335v1_04047	005798335v1_04048	005798335v1_04049	005798335v1_03208							005798335v1_01764	005798335v1_01766		005798335v1_01768	005798335v1_01770	005798335v1_01767	005798335v1_01771	005798335v1_01769
GCA_016794985.1										016794985v1_04708		016794985v1_02925											016794985v1_04378	016794985v1_04161,016794985v1_01506,016794985v1_04868								016794985v1_03225	016794985v1_01520,016794985v1_02659					016794985v1_04497							016794985v1_01294										016794985v1_03506	016794985v1_03505			016794985v1_01665				016794985v1_02531	016794985v1_02530	016794985v1_02529	016794985v1_02528	016794985v1_02527	016794985v1_02526							016794985v1_02740	016794985v1_02742	016794985v1_02741	016794985v1_02744	016794985v1_02746	016794985v1_02743	016794985v1_02747	016794985v1_02745
GCA_014584305.1						014584305v1_02481	014584305v1_02482			014584305v1_02060	014584305v1_02061		014584305v1_00195																				014584305v1_01551												014584305v1_03430										014584305v1_00438	014584305v1_00439							014584305v1_00236	014584305v1_00235	014584305v1_00234	014584305v1_00233	014584305v1_00232								014584305v1_00907	014584305v1_00909	014584305v1_00908	014584305v1_00911		014584305v1_00910	014584305v1_02330	014584305v1_00912
GCA_003455945.1												003455945v1_02237,003455945v1_02555												003455945v1_00219,003455945v1_01275,003455945v1_02204,003455945v1_02205,003455945v1_00791								003455945v1_00305	003455945v1_01465,003455945v1_03471					003455945v1_03987																	003455945v1_02160	003455945v1_02161			003455945v1_03838				003455945v1_03587	003455945v1_03588	003455945v1_03589	003455945v1_03590	003455945v1_03591	003455945v1_03592							003455945v1_02311	003455945v1_02313				003455945v1_02314		003455945v1_00636
GCA_003335525.1										003335525v1_01186	003335525v1_01187	003335525v1_02445,003335525v1_02476,003335525v1_01189				003335525v1_05081								003335525v1_03512,003335525v1_01784,003335525v1_03076,003335525v1_05118,003335525v1_00163,003335525v1_05414,003335525v1_02743,003335525v1_04602								003335525v1_00555,003335525v1_01841	003335525v1_01694,003335525v1_00551					003335525v1_03023									003335525v1_05353	003335525v1_04355	003335525v1_05354	003335525v1_05355	003335525v1_05357	003335525v1_05352	003335525v1_05358	003335525v1_05359	003335525v1_05360	003335525v1_05361	003335525v1_05362						003335525v1_02859	003335525v1_02860	003335525v1_02861	003335525v1_02862	003335525v1_02863	003335525v1_02864							003335525v1_01758,003335525v1_04728	003335525v1_01756	003335525v1_04727,003335525v1_01757	003335525v1_01754,003335525v1_04725	003335525v1_01752,003335525v1_04732	003335525v1_01755	003335525v1_01751	003335525v1_01753,003335525v1_04724
GCA_002967715.1										002967715v1_01186	002967715v1_01187	002967715v1_02445,002967715v1_02476,002967715v1_01189				002967715v1_05081								002967715v1_03512,002967715v1_01784,002967715v1_03076,002967715v1_05118,002967715v1_00163,002967715v1_05414,002967715v1_02743,002967715v1_04602								002967715v1_00555,002967715v1_01841	002967715v1_01694,002967715v1_00551					002967715v1_03023									002967715v1_05353	002967715v1_04355	002967715v1_05354	002967715v1_05355	002967715v1_05357	002967715v1_05352	002967715v1_05358	002967715v1_05359	002967715v1_05360	002967715v1_05361	002967715v1_05362						002967715v1_02859	002967715v1_02860	002967715v1_02861	002967715v1_02862	002967715v1_02863	002967715v1_02864							002967715v1_01758,002967715v1_04728	002967715v1_01756	002967715v1_04727,002967715v1_01757	002967715v1_01754,002967715v1_04725	002967715v1_01752,002967715v1_04732	002967715v1_01755	002967715v1_01751	002967715v1_01753,002967715v1_04724
GCA_013618625.1										013618625v1_02361	013618625v1_02362	013618625v1_04790,013618625v1_04824		013618625v1_04800		013618625v1_02569								013618625v1_04709,013618625v1_00712,013618625v1_02606,013618625v1_00072,013618625v1_01802,013618625v1_02177,013618625v1_04939								013618625v1_04015,013618625v1_04763	013618625v1_01199,013618625v1_04019					013618625v1_05207									013618625v1_01460	013618625v1_03731	013618625v1_01459	013618625v1_01458	013618625v1_01457	013618625v1_01461	013618625v1_01456	013618625v1_01455	013618625v1_01454,013618625v1_04185	013618625v1_01453,013618625v1_04184	013618625v1_01452						013618625v1_05052	013618625v1_05053	013618625v1_05054	013618625v1_05055	013618625v1_05056	013618625v1_05057							013618625v1_04683	013618625v1_04681	013618625v1_04682	013618625v1_04679	013618625v1_04677	013618625v1_04680	013618625v1_04676	013618625v1_04678
GCA_002733575.1						002733575v1_01670	002733575v1_01671			002733575v1_05493	002733575v1_05494	002733575v1_04522,002733575v1_02507		002733575v1_03476		002733575v1_01721	002733575v1_01719,002733575v1_01667,002733575v1_01665,002733575v1_01666							002733575v1_01419,002733575v1_04765								002733575v1_05627	002733575v1_03095	002733575v1_05214	002733575v1_07341			002733575v1_00637,002733575v1_04424									002733575v1_06723	002733575v1_05211	002733575v1_06724	002733575v1_06725	002733575v1_06726	002733575v1_06721	002733575v1_06727	002733575v1_06728	002733575v1_06729	002733575v1_06730	002733575v1_06731						002733575v1_05071	002733575v1_05072	002733575v1_05073	002733575v1_05074	002733575v1_05075	002733575v1_05076							002733575v1_05609	002733575v1_05607		002733575v1_05958	002733575v1_05960	002733575v1_05957	002733575v1_05961	002733575v1_05959
GCA_002480325.1												002480325v1_01171,002480325v1_02801,002480325v1_01063											002480325v1_00568	002480325v1_00846,002480325v1_01353,002480325v1_02044,002480325v1_00532,002480325v1_00294								002480325v1_03498	002480325v1_03414,002480325v1_02840	002480325v1_00484,002480325v1_01674	002480325v1_01673			002480325v1_02350,002480325v1_02952									002480325v1_01764	002480325v1_01599	002480325v1_01765	002480325v1_01766	002480325v1_01427	002480325v1_01762	002480325v1_01428	002480325v1_01429	002480325v1_01430	002480325v1_01431	002480325v1_01432						002480325v1_02434	002480325v1_02433	002480325v1_02432	002480325v1_02431	002480325v1_02430	002480325v1_02429							002480325v1_00538	002480325v1_00539		002480325v1_00541	002480325v1_00543	002480325v1_00540	002480325v1_00544	002480325v1_00542
GCA_003519945.1												003519945v1_01758											003519945v1_00474	003519945v1_01072									003519945v1_00871,003519945v1_02160					003519945v1_00940,003519945v1_01042									003519945v1_00280	003519945v1_00407	003519945v1_00281	003519945v1_00701	003519945v1_00700	003519945v1_00278	003519945v1_00699	003519945v1_00698	003519945v1_02108	003519945v1_02107	003519945v1_02106						003519945v1_00860					003519945v1_01781							003519945v1_01719	003519945v1_01720			003519945v1_00803	003519945v1_01721	003519945v1_00802	
GCA_002297475.1												002297475v1_02271,002297475v1_02358,002297475v1_03054											002297475v1_01560	002297475v1_00266,002297475v1_01033,002297475v1_01352,002297475v1_01329,002297475v1_00610								002297475v1_00744	002297475v1_00068,002297475v1_02407	002297475v1_02225	002297475v1_02226			002297475v1_02006,002297475v1_00132									002297475v1_00963	002297475v1_03324	002297475v1_00962	002297475v1_00961	002297475v1_00960	002297475v1_00965	002297475v1_00959	002297475v1_00958	002297475v1_00957	002297475v1_00956	002297475v1_00955						002297475v1_02395	002297475v1_02396	002297475v1_02397	002297475v1_02398	002297475v1_02399	002297475v1_02400							002297475v1_01323	002297475v1_01322		002297475v1_01320	002297475v1_01318	002297475v1_01321	002297475v1_01317	002297475v1_01319
GCA_002320435.1												002320435v1_02416,002320435v1_00792											002320435v1_01641	002320435v1_02383,002320435v1_02157,002320435v1_01922,002320435v1_02876								002320435v1_00157	002320435v1_02625,002320435v1_00164	002320435v1_00689	002320435v1_00690			002320435v1_02437,002320435v1_00632									002320435v1_00587	002320435v1_01874	002320435v1_00586	002320435v1_00585	002320435v1_00584	002320435v1_00589	002320435v1_00583	002320435v1_00582	002320435v1_00347	002320435v1_00346	002320435v1_00345						002320435v1_02109	002320435v1_02108	002320435v1_02107	002320435v1_02106	002320435v1_02105	002320435v1_00531							002320435v1_01916	002320435v1_02071		002320435v1_02073	002320435v1_02075	002320435v1_02072	002320435v1_02076	002320435v1_02074
GCA_002471675.1												002471675v1_01411,002471675v1_00550,002471675v1_02695											002471675v1_01110	002471675v1_01018,002471675v1_02827,002471675v1_03308,002471675v1_00679								002471675v1_02458	002471675v1_03227,002471675v1_02990	002471675v1_01457	002471675v1_01456			002471675v1_00384,002471675v1_03163									002471675v1_02555	002471675v1_00925	002471675v1_02556	002471675v1_02557	002471675v1_02558	002471675v1_02553	002471675v1_02559	002471675v1_02560	002471675v1_02562	002471675v1_02563	002471675v1_02564						002471675v1_00587	002471675v1_00588	002471675v1_00589	002471675v1_00590	002471675v1_00591	002471675v1_00592							002471675v1_03314	002471675v1_03315		002471675v1_03317	002471675v1_03319	002471675v1_03316	002471675v1_03320	002471675v1_03318
